,metabolites
392,chito2pdol_L
393,chito2pdol_U
394,chlstol
395,chol
396,cholate
397,cholcoa
398,cholcoads
399,cholcoaone
400,cholcoar
401,cholcoas
402,cholp
403,chsterol
404,chsterols
405,chtn
406,cit
407,citmcoa-L
408,citr-L
409,cl
410,clpn_hs
411,clpnd
412,clpndcoa
413,clpndcrn
414,cmp
415,cmp2amep
416,cmpacna
417,cmpntm2amep
418,cmusa
419,co
420,co2
421,coa
422,coke
423,core2
424,core3
425,core4
426,core5
427,core6
428,core7
429,core8
430,cortsn
431,coucoa
432,coumarin
433,cpppg3
434,creat
435,crm_hs
436,crmp_hs
437,crn
438,crtn
439,crtsl
440,crtstrn
441,crvnc
442,"cs,hs_linkage"
443,cs_a
444,"cs_a,b,e_pre1"
445,"cs_a,b_pre2"
446,"cs_a,b_pre3"
447,cs_a_deg1
448,cs_a_deg2
449,cs_a_deg3
450,cs_a_deg4
451,cs_a_deg5
452,cs_b
453,cs_b_deg1
454,cs_b_deg2
455,cs_b_deg3
456,cs_b_pre4
457,cs_b_pre5
458,cs_c
459,"cs_c,d,e_pre1"
460,cs_c_deg1
461,cs_c_deg2
462,cs_c_deg3
463,cs_c_deg4
464,cs_c_deg5
465,cs_c_pre2
466,cs_c_pre3
467,cs_d
468,cs_d_deg1
469,cs_d_deg2
470,cs_d_deg3
471,cs_d_deg4
472,cs_d_deg5
473,cs_d_deg6
474,cs_d_pre2
475,cs_d_pre3
476,cs_d_pre4
477,cs_d_pre5
478,cs_e
479,cs_e_deg1
480,cs_e_deg2
481,cs_e_deg3
482,cs_e_deg4
483,cs_e_deg5
484,cs_e_deg6
485,cs_e_deg7
486,cs_e_pre2
487,cs_e_pre3
488,cs_e_pre4
489,cs_e_pre5a
490,cs_e_pre5b
491,cs_pre
492,csn
493,cspg_a
494,cspg_b
495,cspg_c
496,cspg_d
497,cspg_e
498,ctp
499,cyan
500,cys-L
501,cysam
502,cyst-L
503,cytd
504,dad-2
505,dad-5
506,dadp
507,dag_hs
508,dak2gpe_hs
509,damp
510,datp
511,dcacoa
512,dcamp
513,dcdp
514,dcholcoa
515,dcmp
516,dcsptn1
517,dcsptn1coa
518,dcsptn1crn
519,dctp
520,dcyt
521,dd2coa
522,dd3coa
523,ddca
524,ddcaACP
525,ddcacoa
526,ddsmsterol
527,debrisoquine
528,decdp
529,dedol_L
530,dedol_U
531,dedoldp_L
532,dedoldp_U
533,dedolp_L
534,dedolp_U
535,dem2emgacpail_prot_hs
536,dgchol
537,dgcholcoa
538,dgdp
539,dgmp
540,dgpi_prot_hs
541,dgsn
542,dgtp
543,dha
544,dhap
545,dhbpt
546,dhcholestanate
547,dhcholestancoa
548,dhcholoylcoa
549,dhcrm_hs
550,dhdascb
551,dhea
552,dheas
553,dhf
554,dhlam
555,dhlpro
556,dhocholoylcoa
557,dhor-S
558,didp
559,digalsgalside_hs
560,digalside_hs
561,dimp
562,din
563,ditp
564,dkmpp
565,dlnlcg
566,dlnlcgcoa
567,dlnlcgcrn
568,dmantipyrine
569,dmgly
570,dmhptcoa
571,dmhptcrn
572,dmnoncoa
573,dmnoncrn
574,dmpp
575,dna
576,dna5mtc
577,dnad
578,doldp_L
579,doldp_U
580,dolglcp_L
581,dolglcp_U
582,dolichol_L
583,dolichol_U
584,dolmanp_L
585,dolmanp_U
586,dolp_L
587,dolp_U
588,dopa
589,dopaqn
590,dopasf
591,dpcoa
592,drib
593,dsT_antigen
594,dsmsterol
595,dtdp
596,dtdp4d6dg
597,dtdp4d6dm
598,dtdpglu
599,dtdprmn
600,dtmp
601,dtt
602,dttOX
603,dttp
604,dudp
605,dump
606,duri
607,dutp
608,dxtrn
609,e4hglu
610,e4p
611,eaflatoxin
612,eandrstrn
613,ebastine
614,ebastineoh
615,ecgon
616,egme
617,eicostet
618,eicostetcoa
619,eicostetcrn
620,elaid
621,elaidcrn
622,em2emgacpail_hs
623,em2emgacpail_prot_hs
624,em3gacpail_hs
625,emem2gacpail_hs
626,emgacpail_hs
627,eryth
628,estradiol
629,estradiolglc
630,estriol
631,estriolglc
632,estrone
633,estroneglc
634,estrones
635,etfox
636,etfrd
637,etha
638,ethamp
639,etoh
640,f1a
641,f1p
642,f26bp
643,f5hoxkyn
644,f6p
645,fad
646,fadh2
647,fald
648,fdp
649,fe2
650,fe3
651,fgam
652,ficytC
653,fmn
654,fn2m2masn
655,fna5moxam
656,focytC
657,fol
658,for
659,forglu
660,formcoa
661,fpram
662,fprica
663,frdp
664,fru
665,fuc-L
666,fuc12gal14acglcgalgluside_hs
667,fuc132galacglcgal14acglcgalgluside_hs
668,fuc13galacglcgal14acglcgalgluside_hs
669,fuc14galacglcgalgluside_hs
670,fuc1p-L
671,fucacgalfucgalacglcgalgluside_hs
672,fucacngal14acglcgalgluside_hs
673,fucacngalacglcgalgluside_hs
674,fucfuc12gal14acglcgalgluside_hs
675,fucfuc132galacglcgal14acglcgalgluside_hs
676,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs
677,fucfucfucgalacglcgal14acglcgalgluside_hs
678,fucfucgalacglc13galacglcgal14acglcgalgluside_hs
679,fucfucgalacglcgal14acglcgalgluside_hs
680,fucfucgalacglcgalacglcgal14acglcgalgluside_hs
681,fucfucgalacglcgalgluside_hs
682,fucgal14acglcgalgluside_hs
683,fucgalacgalfuc12gal14acglcgalgluside_hs
684,fucgalacgalfucgalacglcgal14acglcgalgluside_hs
685,fucgalacglc13galacglcgal14acglcgalgluside_hs
686,fucgalacglcgal14acglcgalgluside_hs
687,fucgalacglcgalgluside_hs
688,fucgalfucgalacglcgalgluside_hs
689,fucgalgbside_hs
690,fum
691,g1m6masnB1
692,g1m7masnB
693,g1m7masnC
694,g1m8masn
695,g1m8mpdol_L
696,g1m8mpdol_U
697,g1p
698,g2m8masn
699,g2m8mpdol_L
700,g2m8mpdol_U
701,g3m8masn
702,g3m8mpdol_L
703,g3m8mpdol_U
704,g3p
705,g3pc
706,g6p
707,ga1_hs
708,ga2_hs
709,gacpail_hs
710,gal
711,gal14acglcgalgluside_hs
712,gal1p
713,galacgalfuc12gal14acglcgalgluside_hs
714,galacgalfucgalacglcgal14acglcgalgluside_hs
715,galacglc13galacglcgal14acglcgalgluside_hs
716,galacglcgal14acglcgalgluside_hs
717,galacglcgalacglcgal14acglcgalgluside_hs
718,galacglcgalgbside_hs
719,galacglcgalgluside_hs
720,galfuc12gal14acglcgalgluside_hs
721,galfucgalacglcgal14acglcgalgluside_hs
722,galfucgalacglcgalgluside_hs
723,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs
724,galgalgalthcrm_hs
725,galgalthcrm_hs
726,galgbside_hs
727,galgluside_hs
728,galside_hs
729,galt
730,galthcrm_hs
731,gam
732,gam6p
733,gar
734,gbside_hs
735,gcald
736,gchola
737,gd1a_hs
738,gd1alpha_hs
739,gd1b2_hs
740,gd1b_hs
741,gd1c_hs
742,gd2_hs
743,gd3_hs
744,gdchola
745,gdp
746,gdpddman
747,gdpfuc
748,gdpmann
749,ggdp
750,ggn
751,glac
752,glc-D
753,glc1man
754,glc2man
755,glc3man
756,glcr
757,glcur
758,glcur1p
759,gln-L
760,glu-L
761,glu5p
762,glu5sa
763,gluala
764,glucys
765,gluside_hs
766,glutcoa
767,glx
768,gly
769,glyald
770,glyb
771,glyc
772,glyc-R
773,glyc-S
774,glyc3p
775,glyclt
776,glygn1
777,glygn2
778,glygn3
779,glygn4
780,glygn5
781,gm1_hs
782,gm1a_hs
783,gm1b_hs
784,gm2_hs
785,gm2a_hs
786,gm3_hs
787,gmp
788,gncore1
789,gncore2
790,gp1c_hs
791,gp1calpha_hs
792,gpail_hs
793,gpi_hs
794,gpi_prot_hs
795,gpi_sig
796,gq1b_hs
797,gq1balpha_hs
798,gq1c_hs
799,grdp
800,gsn
801,gt1a_hs
802,gt1alpha_hs
803,gt1b_hs
804,gt1c_hs
805,gt2_hs
806,gt3_hs
807,gthox
808,gthrd
809,gtp
810,gua
811,gudac
812,gullac
813,guln
814,h
815,h2co3
816,h2o
817,h2o2
818,hLkynr
819,ha
820,ha_deg1
821,ha_pre1
822,hco3
823,hcoumarin
824,hcys-L
825,hdca
826,hdcea
827,hdcecrn
828,hdcoa
829,hdd2coa
830,hdd2crn
831,hdeACP
832,hestratriol
833,hexc
834,hexccoa
835,hexccrn
836,hgentis
837,his-L
838,hista
839,hmbil
840,hmgcoa
841,hnifedipine
842,hom-L
843,homoval
844,hpdca
845,hpdcacoa
846,hpdcacrn
847,hpyr
848,hretn
849,hs
850,hs_deg1
851,hs_deg10
852,hs_deg11
853,hs_deg12
854,hs_deg13
855,hs_deg14
856,hs_deg15
857,hs_deg16
858,hs_deg17
859,hs_deg18
860,hs_deg19
861,hs_deg2
862,hs_deg20
863,hs_deg21
864,hs_deg22
865,hs_deg23
866,hs_deg24
867,hs_deg25
868,hs_deg3
869,hs_deg4
870,hs_deg5
871,hs_deg6
872,hs_deg7
873,hs_deg8
874,hs_deg9
875,hs_pre1
876,hs_pre10
877,hs_pre11
878,hs_pre12
879,hs_pre13
880,hs_pre14
881,hs_pre15
882,hs_pre2
883,hs_pre3
884,hs_pre4
885,hs_pre5
886,hs_pre6
887,hs_pre7
888,hs_pre8
889,hs_pre9
890,hspg
891,htaxol
892,hxan
893,hxdcal
894,hyptaur
895,i
896,ibcoa
897,icit
898,id3acald
899,idour
900,idp
901,ile-L
902,im4ac
903,im4act
904,imp
905,ind3ac
906,inost
907,ins
908,iodine
909,ipdp
910,itaccoa
911,itacon
912,itp
913,ivcoa
914,k
915,kdn
916,kdnp
917,ksi
918,ksi_deg1
919,ksi_deg10
920,ksi_deg11
921,ksi_deg12
922,ksi_deg13
923,ksi_deg14
924,ksi_deg15
925,ksi_deg16
926,ksi_deg17
927,ksi_deg18
928,ksi_deg19
929,ksi_deg2
930,ksi_deg20
931,ksi_deg21
932,ksi_deg22
933,ksi_deg23
934,ksi_deg24
935,ksi_deg25
936,ksi_deg26
937,ksi_deg27
938,ksi_deg28
939,ksi_deg29
940,ksi_deg3
941,ksi_deg30
942,ksi_deg31
943,ksi_deg32
944,ksi_deg33
945,ksi_deg34
946,ksi_deg35
947,ksi_deg36
948,ksi_deg37
949,ksi_deg38
950,ksi_deg39
951,ksi_deg4
952,ksi_deg40
953,ksi_deg41
954,ksi_deg5
955,ksi_deg6
956,ksi_deg7
957,ksi_deg8
958,ksi_deg9
959,ksi_pre1
960,ksi_pre10
961,ksi_pre11
962,ksi_pre12
963,ksi_pre13
964,ksi_pre14
965,ksi_pre15
966,ksi_pre16
967,ksi_pre17
968,ksi_pre18
969,ksi_pre19
970,ksi_pre2
971,ksi_pre20
972,ksi_pre21
973,ksi_pre22
974,ksi_pre23
975,ksi_pre24
976,ksi_pre25
977,ksi_pre26
978,ksi_pre27
979,ksi_pre28
980,ksi_pre29
981,ksi_pre3
982,ksi_pre30
983,ksi_pre31
984,ksi_pre32
985,ksi_pre33
986,ksi_pre34
987,ksi_pre35
988,ksi_pre36
989,ksi_pre4
990,ksi_pre5
991,ksi_pre6
992,ksi_pre7
993,ksi_pre8
994,ksi_pre9
995,ksii_core2
996,ksii_core2_deg1
997,ksii_core2_deg2
998,ksii_core2_deg3
999,ksii_core2_deg4
1000,ksii_core2_deg5
1001,ksii_core2_deg6
1002,ksii_core2_deg7
1003,ksii_core2_deg8
1004,ksii_core2_deg9
1005,ksii_core2_pre1
1006,ksii_core2_pre10
1007,ksii_core2_pre2
1008,ksii_core2_pre3
1009,ksii_core2_pre4
1010,ksii_core2_pre5
1011,ksii_core2_pre6
1012,ksii_core2_pre7
1013,ksii_core2_pre8
1014,ksii_core2_pre9
1015,ksii_core4
1016,ksii_core4_deg1
1017,ksii_core4_deg2
1018,ksii_core4_deg3
1019,ksii_core4_deg4
1020,ksii_core4_pre1
1021,ksii_core4_pre10
1022,ksii_core4_pre2
1023,ksii_core4_pre3
1024,ksii_core4_pre4
1025,ksii_core4_pre5
1026,ksii_core4_pre6
1027,ksii_core4_pre7
1028,ksii_core4_pre8
1029,ksii_core4_pre9
1030,kynate
1031,l2fn2m2masn
1032,l2n2m2mn
1033,l2xser
1034,lac-D
1035,lac-L
1036,lald-D
1037,lald-L
1038,lanost
1039,lcts
1040,leu-L
1041,leuktrA4
1042,leuktrB4
1043,leuktrB4wcooh
1044,leuktrB4woh
1045,leuktrC4
1046,leuktrD4
1047,leuktrE4
1048,leuktrF4
1049,lgnc
1050,lgnccoa
1051,lgnccrn
1052,lgt-S
1053,limnen
1054,lipoate
1055,lneldc
1056,lneldcACP
1057,lneldccoa
1058,lneldccrn
1059,lnlc
1060,lnlcACP
1061,lnlccoa
1062,lnlccrn
1063,lnlnca
1064,lnlncacoa
1065,lnlncacrn
1066,lnlncg
1067,lnlncgcoa
1068,lnlncgcrn
1069,lpam
1070,lpchol_hs
1071,lpro
1072,lthstrl
1073,lum3
1074,lxser
1075,lys-L
1076,lyxnt
1077,m(em)3gacpail_hs
1078,m(em)3gacpail_prot_hs
1079,m1mpdol_L
1080,m1mpdol_U
1081,m2emgacpail_hs
1082,m2gacpail_hs
1083,m2mn
1084,m2mpdol_L
1085,m2mpdol_U
1086,m3emgacpail_hs
1087,m3gacpail_hs
1088,m3mpdol_L
1089,m3mpdol_U
1090,m4masn
1091,m4mpdol_L
1092,m4mpdol_U
1093,m5masnB1
1094,m5masnB2
1095,m5masnC
1096,m5mpdol_L
1097,m5mpdol_U
1098,m6masnA
1099,m6masnB1
1100,m6masnB2
1101,m6masnC
1102,m6mpdol_L
1103,m6mpdol_U
1104,m7masnA
1105,m7masnB
1106,m7masnC
1107,m7mpdol_L
1108,m7mpdol_U
1109,m8masn
1110,m8mpdol_L
1111,m8mpdol_U
1112,mag_hs
1113,mal-L
1114,malACP
1115,malcoa
1116,malt
1117,malttr
1118,man
1119,man1p
1120,man6p
1121,melanin
1122,melatn
1123,mem2emgacpail_hs
1124,mem2emgacpail_prot_hs
1125,memgacpail_hs
1126,meoh
1127,mepi
1128,mercplac
1129,mercplaccys
1130,mercppyr
1131,mescoa
1132,mescon
1133,met-L
1134,methf
1135,mev-R
1136,mgacpail_hs
1137,mhista
1138,mi13456p
1139,mi1345p
1140,mi1346p
1141,mi134p
1142,mi13p
1143,mi1456p
1144,mi145p
1145,mi14p
1146,mi1p-D
1147,mi3456p
1148,mi34p
1149,mi3p-D
1150,mi4p-D
1151,micit
1152,minohp
1153,mlthf
1154,mma
1155,mmcoa-R
1156,mmcoa-S
1157,mn
1158,mpdol_L
1159,mpdol_U
1160,msa
1161,mthgxl
1162,myrsACP
1163,n2m2masn
1164,n2m2mn
1165,n2m2nm
1166,n2m2nmasn
1167,n2m2nmn
1168,n3m2masn
1169,n4abutn
1170,n4m2masn
1171,n5m2masn
1172,na1
1173,nac
1174,nad
1175,nadh
1176,nadp
1177,nadph
1178,naglc2p_L
1179,naglc2p_U
1180,ncam
1181,nformanth
1182,nh4
1183,nicrns
1184,nicrnt
1185,nifedipine
1186,nm2masn
1187,nm4masn
1188,nmn
1189,nmptrc
1190,nmthsrtn
1191,no
1192,normete-L
1193,npthl
1194,nrpphr
1195,nrpphrsf
1196,nrvnc
1197,nrvnccoa
1198,nrvnccrn
1199,ntm2amep
1200,nwharg
1201,o2
1202,o2s
1203,oaa
1204,oagd3_hs
1205,oagt3_hs
1206,occoa
1207,ocdca
1208,ocdcaACP
1209,ocdcea
1210,ocdcya
1211,ocdcyaACP
1212,octa
1213,octeACP
1214,od2coa
1215,odecoa
1216,odecrn
1217,oh1
1218,omeprazole
1219,onpthl
1220,oretn
1221,orn
1222,orn-D
1223,orot
1224,orot5p
1225,oxa
1226,pa_hs
1227,pac
1228,pacald
1229,paf_hs
1230,pail345p_hs
1231,pail34p_hs
1232,pail35p_hs
1233,pail3p_hs
1234,pail45p_hs
1235,pail4p_hs
1236,pail5p_hs
1237,pail_hs
1238,palmACP
1239,pan4p
1240,pap
1241,paps
1242,pchol_hs
1243,pcollg5hlys
1244,pcollglys
1245,pcreat
1246,pcrn
1247,pd3
1248,pdx5p
1249,pe_hs
1250,peamn
1251,pecgon
1252,pecgoncoa
1253,pep
1254,peplys
1255,pepslys
1256,peracd
1257,perillyl
1258,pglyc_hs
1259,pgp_hs
1260,phaccoa
1261,phe-L
1262,pheacgln
1263,pheme
1264,phom
1265,phpyr
1266,phyQ
1267,phyt
1268,phyt2ohcoa
1269,phytcoa
1270,pi
1271,pmtcoa
1272,pmtcrn
1273,pnto-R
1274,ppa
1275,ppbng
1276,ppcoa
1277,ppi
1278,ppmi12346p
1279,ppmi1346p
1280,ppp9
1281,pppg9
1282,pppi
1283,pram
1284,pre_prot
1285,prgnlone
1286,prgnlones
1287,prgstrn
1288,prist
1289,pristanal
1290,pristcoa
1291,pro-D
1292,pro-L
1293,prostg1
1294,prostgd2
1295,prostge1
1296,prostge2
1297,prostgf2
1298,prostgh2
1299,prostgi2
1300,prpncoa
1301,prpp
1302,ps_hs
1303,pser-L
1304,ptdca
1305,ptdcacoa
1306,ptdcacrn
1307,ptrc
1308,ptth
1309,pyam5p
1310,pydam
1311,pydx
1312,pydx5p
1313,pydxn
1314,pylald
1315,pyr
1316,q10
1317,q10h2
1318,quln
1319,r1p
1320,r5p
1321,rbl-D
1322,rbt
1323,retfa
1324,retinal
1325,retinal-11-cis
1326,retinal-cis-13
1327,retinal-cis-9
1328,retinol
1329,retinol-9-cis
1330,retinol-cis-11
1331,retinol-cis-13
1332,retn
1333,retncoa
1334,retnglc
1335,retpalm
1336,rib-D
1337,ribflv
1338,rnam
1339,ru5p-D
1340,s2l2fn2m2masn
1341,s2l2n2m2m
1342,s2l2n2m2masn
1343,s2l2n2m2mn
1344,s7p
1345,sT_antigen
1346,sTn_antigen
1347,saccrp-L
1348,sarcs
1349,sbt-D
1350,seahcys
1351,seasmet
1352,sel
1353,selcys
1354,selcyst
1355,selhcys
1356,selmeth
1357,seln
1358,selnp
1359,ser-D
1360,ser-L
1361,sgalside_hs
1362,sl-L
1363,so3
1364,so4
1365,spc_hs
1366,sph1p
1367,sphgn
1368,sphings
1369,sphmyln_hs
1370,sphs1p
1371,spmd
1372,sprm
1373,sql
1374,srtn
1375,stcoa
1376,stcrn
1377,strch1
1378,strch2
1379,strdnc
1380,strdnccoa
1381,strdnccrn
1382,succ
1383,succoa
1384,sucr
1385,sucsal
1386,t2m26dcoa
1387,tag1p-D
1388,tag_hs
1389,tagat-D
1390,taur
1391,taxol
1392,tchola
1393,tcynt
1394,tdchola
1395,tdcoa
1396,tdeACP
1397,tethex3
1398,tethex3coa
1399,tetpent3
1400,tetpent3coa
1401,tetpent3crn
1402,tetpent6
1403,tetpent6coa
1404,tetpent6crn
1405,tettet6
1406,tettet6coa
1407,tettet6crn
1408,thbpt
1409,thbpt4acam
1410,thcholoylcoa
1411,thcholst
1412,thcholstoic
1413,thcrm_hs
1414,thcys
1415,thf
1416,thm
1417,thmmp
1418,thmpp
1419,thmtp
1420,thp2c
1421,thr-L
1422,thrnt
1423,thym
1424,thymd
1425,thyox-L
1426,tmlys
1427,tmndnc
1428,tmndnccoa
1429,tmndnccrn
1430,tolbutamide
1431,trdox
1432,trdrd
1433,tre
1434,triodthy
1435,triodthysuf
1436,trp-L
1437,trypta
1438,ts3
1439,tststerone
1440,tststeroneglc
1441,tststerones
1442,tsul
1443,ttc-ggdp
1444,ttccoa
1445,ttdca
1446,ttdcea
1447,ttdcrn
1448,txa2
1449,tym
1450,tymsf
1451,tyr-L
1452,uacgam
1453,udp
1454,udpacgal
1455,udpg
1456,udpgal
1457,udpglcur
1458,udpxyl
1459,ump
1460,uppg3
1461,ura
1462,urate
1463,urcan
1464,urea
1465,uri
1466,utp
1467,vacc
1468,vacccoa
1469,vacccrn
1470,val-L
1471,vitd2
1472,vitd3
1473,wharachd
1474,whddca
1475,whhdca
1476,whtststerone
1477,whttdca
1478,xan
1479,xmp
1480,xol24oh
1481,xol25oh
1482,xol27oh
1483,xol7a
1484,xol7ah
1485,xol7ah2
1486,xol7ah2al
1487,xol7ah3
1488,xol7aone
1489,xoldiolone
1490,xoldioloneh
1491,xolest2_hs
1492,xolest_hs
1493,xoltetrol
1494,xoltri24
1495,xoltri25
1496,xoltri27
1497,xoltriol
1498,xser
1499,xtp
1500,xtsn
1501,xu1p-D
1502,xu5p-D
1503,xyl-D
1504,xylnt
1505,xylt
1506,xylu-D
1507,xylu-L
1508,yvite
1509,zym_int2
1510,zymst
1511,zymstnl
