,min_18_GSE122927_P_p21_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,Sharma_21_EGF_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.648949141658015e-06,0.0,0.0,2.212555551468143e-05,0.0,0.0,0.0,0.0,0.0,0.00021294969949005804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,0.0,0.0,0.0,0.00024708293418373534,0.0,0.0,9.170247880748121e-05,0.0,0.0,0.0,0.0,0.0,0.0012148647491025425,0.0,0.0,0.0,0.0,0.0,0.0,4.975998796626301e-06,0.0,0.0,0.0,0.0,0.0002955013332575002,0.011111864324078614,0.0,0.00036953426064290594,5.0052241622470344e-05,0.0
dgmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001212417468448762,0.002050260383385122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.543542601551973e-06,0.0,0.0,0.0
dtmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001824060085018865,0.0,0.0,0.0,0.0,0.00022303825362463695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gh,0.0,0.0,4.3307622566718374e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gln-L,0.0,0.0,0.0,0.010935024727457582,3.504221041044637e-05,0.0,0.0,0.0,0.0,0.053287304890954096,0.0,0.0,0.0,0.0,0.0,0.0,0.029042040678080982,0.0,0.0,0.0012890043570985923,0.023058436496875365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glu-L,0.0,0.0,0.0,0.0,0.0,0.00021451094951602503,0.0,0.0,0.0,0.031474893931294774,0.00014094397668909026,0.0,0.0,0.00021995053559014592,0.0,0.0,0.0,0.0,0.0,1.8385821094991377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gly,0.004109284304873003,0.0015041732279024848,0.0,0.0,0.0,0.0,0.0039016669416427636,0.004199783589419862,0.0034390718987839203,0.0,0.0,0.010640022820386955,0.0,0.0,0.00816480987340587,0.001418494107360937,0.0,0.006874215740238467,0.0,0.0,0.0,0.00949690342203173,0.008224296592384477,0.001097162086506385,0.0016747957518140064,0.0,0.0,3.34716002000607e-05,0.0,0.003092774239239851
glygn1,0.0,0.0,7.729878207693665e-05,0.0,0.0,3.5022783785871823e-06,4.545196203266014e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.6769713431029906e-06,0.0,0.0,0.0,0.0,0.0,1.5139483898441337e-05,0.0,1.1338029496622363e-05,0.0,0.0,0.0,0.0,6.288645133866608e-07,0.0,9.673308256088892e-05,0.0
gmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27029565101208e-05,0.001092906192917689,0.0,0.00016876736442036891,0.0,0.00034890037904589387,0.0,0.0020498963362270404,0.0,0.0,0.0,0.0026387549632588565,0.0,2.586425029505834e-05,0.00014531623629901393,0.0,7.936372903231597e-05,0.0,0.0,0.0
gthox,0.0,0.0006604596688197472,0.0,0.0007205143108839466,0.0,0.0,0.0,0.0,0.0,0.002960117597272721,2.4810827137476636e-05,0.0,0.0,0.0,0.0011573209971007005,0.0,0.0,0.0,0.0,1.4042321428173446e-05,0.0,0.0,0.0,0.0,0.0003167407105391478,0.0,0.0,0.0,0.0,0.0
gthrd,0.0,0.0033520684465453347,0.0002195176215665968,0.0050988822772550955,0.0,0.0,0.002384319262897494,0.004388720701271692,0.0,0.001548501849256318,4.7396187916171884e-06,0.0,0.0,0.0,0.0002802025097034623,0.0,0.002917237904464102,0.0,0.0,4.2945265799791685e-05,0.0021453119137050305,0.0,0.0,0.0,0.0,0.0,0.0,1.516630455620001e-06,0.00012597174142207768,0.0
h2o,0.0,0.019132899951052353,0.0,0.020481323461399456,0.0,0.0,0.0019180554607561517,0.0,0.0,0.014905436735004893,0.0,0.0,0.003520109578266092,0.0,0.0,0.0,0.03417144669941437,0.0,0.0,0.001492252195712588,0.005779405191356137,0.00481461467712975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ile-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007072196457970964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leu-L,0.0,0.005196831178274901,0.0,0.01498339449879495,0.0,0.0,0.0027825095701493074,0.0,0.0,0.0,0.0,0.0007231008791869579,0.0,0.0,0.0005604458574686277,0.0005052362829417477,0.0,0.003053404946742159,0.0,0.0006988737118316506,0.0,0.003910948710903589,0.0,0.00024039124840567123,8.494271059727015e-05,0.0,0.0,0.0,0.0,0.0
lpchol_hs,0.0007074061302467247,0.0,0.0,0.0,0.0,1.2302220502635931e-05,0.0,0.0006891074800984419,0.00025479046705489874,0.0,2.3656477920424398e-05,0.0002551578525881648,6.87626452079635e-05,4.980964456086698e-05,0.0,0.0,0.00014898645212181068,0.0,0.0,0.0,0.0,0.0007676457991611908,0.0,0.0,0.0,0.0006312339039435381,2.2257345387755323e-05,2.0844766575468238e-06,8.189907021849196e-05,0.0007613131750335416
lys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.703091352502525e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mag_hs,0.0,0.0,0.0,0.0,0.0,1.5874257264797004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
met-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009832578550511796,0.0,0.0,0.000138318831200172,0.0,0.0,2.0096796569019447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00878708360057504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021248268607199086,0.006470089966662564,0.0,0.0006518272623932453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023943947046838727,0.0,0.0,0.009810107639635593,0.0,0.0,0.0,0.0
nmn,0.0,0.0026528366971525588,0.0007120707559427717,0.0,1.8262321443384767e-05,0.0,0.0025507223912089702,0.0,0.001932904690902,0.0,0.0,0.0182495696320122,0.0007117343761280778,0.0010128382942477601,0.0007944368323216972,0.002710389109993196,0.0,0.015862590624325885,0.0,0.000454457477761624,0.0,0.0,0.0,0.0008746054884014359,2.910998443917231e-05,0.004881897313364013,0.000966133323147263,0.0,9.494151048664286e-05,0.013047963491736326
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pail_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pchol_hs,0.002948165247253603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000722014569593165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pe_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9984363207768732e-05,0.0
phe-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro-L,0.0,0.0,7.002491439769591e-05,0.0,0.0,0.0,0.002294405741395846,0.023648233607279176,0.0,0.0,0.00010944386888146498,0.0032767090244554577,0.0,0.0007279746114507883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073633927544538205,0.0,0.0,0.00024266271718032377,0.0,4.088582429150525e-05,0.0,9.980594769199111e-05,0.014357047707637323
ps_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029865394039110306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023206979998977468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ser-L,0.0,0.0015893818666298939,0.0,0.0,2.127702619670953e-05,0.0,0.0,0.025339326946661148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005001706624126357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45544928185683e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2761137338674015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thr-L,0.0,0.0,0.00046291616724126674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trp-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005380465558283894,0.0,0.0,0.0,0.0,0.0,0.0,7.347712086163347e-05,0.0,0.0,0.0
tyr-L,0.002156498777493858,0.0038447043832397225,0.0,0.011158812815762758,0.0002602833409665107,0.0,0.0007371471143586696,0.01005345246743167,0.0018553329665899406,0.015868287194302676,0.0,0.008575178874971869,7.654264159869399e-05,4.456570166309712e-06,0.0,0.0005523710662313679,0.007146062304695318,0.001390308723706297,0.0,0.0008808679121928254,0.009860295024081794,0.0,0.0,0.0008146243514040162,0.0013445904364272458,0.001875286825520711,0.00020735173365451598,0.0,0.0,0.0
ump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006959349888405674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xolest_hs,0.0,4.19186788851996e-05,5.973272339774555e-08,1.9389310588755676e-05,0.0,0.0,6.727956370970309e-05,0.0,1.7787764046220126e-05,0.000565115090598428,0.0,0.00015606795236561185,0.0,2.957040345204686e-05,7.010818203474788e-05,0.0,0.0005288894223573942,0.0007365030957829472,0.0,2.0402481263154125e-06,0.0008899995141021469,0.0004520667275852569,0.00032271012963013733,1.2760580748032502e-05,3.389620802096173e-05,7.913469185322277e-05,0.0,0.0,5.244962599091747e-06,0.00035735694451288286
