"","c7","c8","c11","c12","c14","c17","c18","c1","c2","c5","c6","c9","c10","c15","c13","c16"
"LINC00982",0,0,0,0,0,2,2,17,36,0,0,0,8,0,0,39
"PRDM16",2,2,4,0,0,10,10,58,62,0,0,2,7,2,0,78
"MIR4251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF16",15,2,28,16,0,29,3,14,12,1,4,9,20,9,19,108
"MEGF6",8709,7921,24890,14349,1978,55004,23446,8758,11564,6422,7373,17003,22870,17003,14418,118832
"MIR551A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TPRG1L",963,834,2106,1628,212,3978,3841,1705,2240,663,700,1396,2098,1396,1300,6219
"WRAP73",182,129,431,322,8,637,667,491,819,119,155,226,474,226,164,2104
"TP73",6,1,20,1,0,20,39,17,35,2,6,21,20,21,9,31
"TP73-AS1",656,542,1895,1302,87,1892,2099,1260,1189,438,574,1264,1654,1264,587,6546
"CCDC27",4,1,5,2,0,1,1,30,45,2,2,0,2,0,2,13
"SMIM1",56,40,103,89,13,102,139,87,116,35,42,64,120,64,41,754
"LRRC47",948,946,2429,1666,218,3745,3122,2508,2947,588,772,1553,2214,1553,1137,10785
"CEP104",312,267,1143,658,138,1053,1029,732,536,236,285,627,1062,627,729,2433
"DFFB",135,127,259,238,34,450,395,194,314,75,150,204,341,204,158,562
"C1orf174",342,261,628,512,49,928,937,624,823,211,235,373,741,373,302,2030
"LINC01134",5,7,16,8,0,16,20,9,19,6,9,26,13,26,4,0
"LINC01346",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0
"AJAP1",4,3,23,17,2,26,17,45,27,6,4,18,23,18,2,109
"MIR4417",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MIR4689",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"NPHP4",202,191,568,367,13,705,560,652,546,102,164,336,475,336,240,1287
"KCNAB2",243,281,834,533,55,1003,985,533,229,158,226,463,713,463,326,3678
"CHD5",9,0,2,6,0,8,14,59,62,0,6,12,18,12,2,42
"RPL22",4373,3243,12682,11911,2092,13828,16236,3821,5569,2811,3066,9363,15926,9363,5733,21002
"LOC102724450",28,15,38,39,5,46,44,23,10,16,15,18,33,18,22,237
"RNF207",651,665,1229,1065,33,754,824,300,393,297,576,897,1365,897,306,2814
"ICMT",3614,2837,10187,5016,683,11782,9341,5066,4851,2238,2436,5689,7851,5689,4479,13150
"LINC00337",0,2,4,4,0,2,8,8,4,2,0,0,3,0,2,2
"HES3",0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0
"GPR153",873,851,2258,1556,75,2312,2580,2449,1033,522,732,1220,2242,1220,718,10162
"ACOT7",234,140,553,400,87,1314,862,373,310,154,140,237,500,237,376,1833
"HES2",10,8,25,23,0,7,6,19,31,11,6,18,28,18,2,32
"ESPN",8,2,1,11,0,5,10,15,20,0,7,4,6,4,0,14
"MIR4252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF25",207,121,335,215,3,167,249,202,135,95,168,298,312,298,54,1490
"PLEKHG5",808,724,1620,1271,58,1318,1893,1242,984,332,622,1023,1729,1023,449,7195
"NOL9",882,864,2303,1526,293,2771,2440,1656,956,597,775,1407,2427,1407,1460,3579
"TAS1R1",5,1,16,12,0,20,16,20,13,12,4,12,18,12,8,14
"ZBTB48",309,226,564,414,56,739,700,834,817,169,295,505,837,505,242,1803
"KLHL21",1366,1127,3794,2505,278,5057,9357,3595,2650,845,1200,2623,3713,2623,2042,20331
"PHF13",830,998,1995,2056,180,2585,4113,2009,2835,589,1057,1435,4002,1435,1364,9468
"THAP3",389,245,772,502,38,1012,811,1060,846,206,196,489,665,489,307,1056
"DNAJC11",608,542,1710,1121,292,1729,1805,1563,1435,382,491,970,1793,970,953,4062
"LINC01672",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CAMTA1",415,331,963,934,245,1307,1446,646,842,287,282,590,1098,590,527,5705
"VAMP3",3286,2957,8101,5793,636,11579,12296,4174,3971,2312,2435,4131,7279,4131,4998,11430
"PER3",493,426,1164,706,88,1195,1814,1186,474,335,463,758,1319,758,572,3948
"UTS2",0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0
"TNFRSF9",0,0,14,2,2,5,5,3,9,4,0,2,2,2,0,38
"PARK7",2908,2119,6630,6339,1495,8422,9805,5228,7649,2100,1925,4403,7649,4403,3573,16200
"ERRFI1",540,1238,1310,2172,218,1527,5200,1513,3840,363,1914,899,5739,899,2961,12134
"LINC01714",0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0
"SLC45A1",38,48,151,74,0,191,188,227,107,30,50,57,138,57,65,672
"RERE",370,359,1392,874,216,1511,1457,769,642,256,421,995,1403,995,928,3205
"LOC102724552",6,5,2,6,0,9,4,0,2,2,4,5,6,5,0,13
"SNORD128",0,0,0,0,0,0,0,27,42,1,0,1,0,1,0,0
"ENO1",12516,10426,34411,23669,4256,70618,54640,29288,27688,9060,9173,19583,34383,19583,22717,35802
"MIR6728",0,0,1,5,1,1,7,0,4,0,2,0,4,0,7,0
"ENO1-AS1",0,2,0,0,0,2,12,1,5,0,0,2,2,2,0,0
"CA6",0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0
"SLC2A7",0,0,0,0,0,0,0,7,6,0,0,0,1,0,0,0
"SLC2A5",43,38,129,103,4,32,79,55,53,26,39,135,94,135,12,92
"GPR157",48,15,62,35,6,72,83,43,30,12,19,29,60,29,32,225
"MIR34AHG",668,589,963,1250,83,463,1080,419,417,360,791,1514,1700,1514,229,1716
"MIR34A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01759",124,138,282,196,21,224,349,296,385,101,107,137,318,137,128,361
"H6PD",3874,3298,11112,4758,618,10594,9725,7788,3507,2431,3620,6878,8526,6878,4697,20327
"SPSB1",199,207,766,539,33,789,1063,1742,1187,182,225,417,717,417,324,4473
"LOC100506022",53,40,144,92,2,128,132,158,123,39,39,70,108,70,41,158
"SLC25A33",73,81,330,384,23,661,1068,56,113,34,93,156,575,156,226,2122
"TMEM201",191,119,438,311,25,532,539,261,177,62,130,239,433,239,153,1890
"PIK3CD",780,599,2106,1175,114,2009,1613,1312,717,441,621,1216,1832,1216,863,2089
"PIK3CD-AS1",2,21,2,29,0,4,34,7,17,0,18,6,43,6,9,26
"PIK3CD-AS2",87,66,143,157,12,301,303,144,89,63,38,78,221,78,122,1412
"CLSTN1",2837,2703,10932,5457,719,14125,10817,12959,6797,2097,2412,6566,8362,6566,4903,24351
"CTNNBIP1",547,406,1105,845,104,1858,1849,1906,2281,320,357,611,1091,611,672,2719
"LZIC",910,847,2397,1601,201,2597,2612,1103,1106,660,691,1397,2399,1397,1182,2975
"NMNAT1",621,429,1451,887,126,1675,1531,637,873,446,374,833,1221,833,599,925
"MIR5697",0,0,0,0,2,0,0,0,0,2,3,1,0,1,0,0
"RBP7",1,2,4,4,0,2,2,13,7,0,0,0,3,0,6,10
"UBE4B",1493,1395,4411,2526,356,4987,5358,6076,2137,1022,1355,2580,4108,2580,2436,5216
"KIF1B",1106,830,2967,1842,473,4407,3542,1996,2123,734,1016,1910,2980,1910,2763,5253
"RNU6-2",5,2,69,111,1,25,47,1,5,4,5,49,118,49,7,6
"PGD",1335,1172,3502,2402,546,9674,4953,3684,2895,1027,1025,2445,3030,2445,3142,4106
"CENPS",32,27,69,75,5,76,86,25,74,16,18,28,75,28,42,77
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORT",4,1,26,5,2,7,6,14,16,8,3,17,15,17,7,85
"DFFA",811,653,2320,1474,187,2650,2491,1736,1812,563,612,1280,1958,1280,963,4673
"PEX14",430,449,1432,934,126,1819,1688,1393,973,331,395,703,1351,703,549,5318
"CASZ1",2,4,2,3,0,21,8,59,74,2,4,12,31,12,13,156
"C1orf127",2,0,4,1,0,0,0,9,11,2,0,0,3,0,0,12
"TARDBP",575,439,1377,1026,364,1797,2036,648,1181,339,592,1191,1588,1191,1048,2800
"MASP2",27,29,50,48,6,57,110,27,50,24,78,62,109,62,72,110
"SRM",380,325,1065,790,78,1437,1249,706,401,231,265,398,1142,398,392,8304
"EXOSC10",970,888,2608,1673,184,2957,3204,2460,1694,637,956,1430,2513,1430,1033,2235
"LOC105376736",2,4,7,8,2,4,9,0,0,8,4,5,17,5,9,13
"MTOR",1587,1247,4478,2394,260,5025,3973,4083,2736,989,1522,2758,3799,2758,2373,4648
"MTOR-AS1",1,2,1,6,2,0,3,2,1,0,4,0,5,0,4,1
"ANGPTL7",4,0,3,6,4,7,18,21,32,2,8,18,19,18,1,24
"UBIAD1",254,267,756,512,51,1136,933,563,335,226,298,475,830,475,469,1313
"DISP3",0,0,0,2,0,8,6,24,27,2,0,4,13,4,5,34
"LINC01647",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO2",337,329,942,633,44,517,593,227,295,192,197,638,779,638,139,2363
"FBXO44",688,538,1368,1364,55,1055,1731,1528,1493,370,442,957,1589,957,377,1638
"FBXO6",190,158,493,415,19,585,773,304,459,131,118,241,463,241,176,482
"MAD2L2",496,494,1173,883,81,1698,1579,1372,1479,285,333,547,1143,547,409,4492
"DRAXIN",0,2,2,2,0,0,10,5,10,0,0,0,6,0,0,4
"AGTRAP",565,437,1604,1062,67,1558,1768,1285,1516,331,308,782,1335,782,365,1372
"C1orf167",0,0,0,3,0,0,2,0,1,0,0,2,10,2,0,0
"LOC102724659",0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
"MTHFR",840,661,1956,1124,114,2161,2078,3468,2271,558,813,1402,2031,1402,874,2456
"CLCN6",296,332,970,692,125,904,1549,938,314,195,353,611,897,611,616,1879
"NPPA-AS1",2,2,0,1,0,5,9,11,2,0,6,2,7,2,1,7
"NPPA",0,0,2,6,0,1,5,10,2,0,0,5,9,5,3,8
"NPPB",0,0,0,0,0,4,10,2,1,0,0,0,1,0,3,0
"KIAA2013",953,990,3656,2004,127,4194,3859,1717,1384,699,757,1876,2784,1876,1241,10611
"PLOD1",6495,5669,22049,11143,1087,23389,21205,16864,13295,4601,5143,11697,17613,11697,7289,23585
"MFN2",2516,2185,7209,4717,708,7955,8128,5724,3813,1685,2133,4726,6550,4726,3370,20559
"MIIP",284,237,615,514,33,1146,841,835,1080,155,144,400,647,400,254,4381
"MIR6729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF8",9,2,32,16,0,2,2,13,9,0,0,23,2,23,2,12
"MIR7846",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TNFRSF1B",146,82,485,175,12,148,233,495,252,57,94,252,248,252,47,686
"MIR4632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VPS13D",2097,1516,5237,3330,512,6027,5513,3843,2510,1446,1967,4062,5312,4062,3885,7262
"SNORA59A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA59B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DHRS3",2434,2442,4926,4822,762,9926,11906,16642,14622,1873,1904,3349,5728,3349,4257,24295
"MIR6730",1,0,0,7,0,3,4,8,0,2,5,6,4,6,3,33
"AADACL4",6,2,8,10,2,8,29,16,48,7,6,2,13,2,7,42
"AADACL3",0,0,0,0,0,0,0,17,35,0,0,3,0,3,0,0
"C1orf158",4,0,6,2,0,6,1,15,8,0,2,4,5,4,3,0
"PRAMEF12",0,1,0,0,0,0,0,7,7,0,2,0,2,0,0,0
"PRAMEF1",0,0,2,0,0,0,1,1,7,0,1,0,2,0,0,0
"PRAMEF11",0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0
"HNRNPCL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PRAMEF2",0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
"PRAMEF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF8_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF7_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF6_dup1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PRAMEF27_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF18_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF22_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF5_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF36P_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF34P_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL2",1,0,1,1,0,0,0,3,3,0,0,0,5,0,0,1
"PRAMEF36P_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF34P_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF18_dup2",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"PRAMEF22_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF5_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF6_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF27_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF8_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF7_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF10_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF33_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF15_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF27_dup3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF13_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF14_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF19_dup1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PRAMEF17_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF20_dup1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF8_dup3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF7_dup3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF10_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF33_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF15_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF27_dup4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF13_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF14_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF19_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF17_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF20_dup2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC38",0,4,0,2,0,0,0,2,13,0,2,0,4,0,0,0
"PDPN",20,24,72,53,0,6,30,83,27,10,23,45,28,45,4,8
"PRDM2",717,747,2334,1409,261,1745,2435,1021,625,471,738,1168,2185,1168,1297,2780
"KAZN",187,164,578,372,52,480,644,287,185,102,167,302,495,302,233,2256
"TMEM51-AS1",0,2,0,0,0,1,6,20,31,2,0,1,3,1,0,0
"TMEM51",58,73,207,146,6,114,159,329,211,31,39,153,230,153,43,424
"C1orf195",2,4,1,3,0,5,13,0,0,0,6,0,2,0,3,24
"FHAD1",0,2,2,8,0,0,5,58,44,0,0,0,8,0,0,0
"EFHD2",654,605,2075,1422,117,2432,2868,2129,1272,405,467,1164,1866,1164,832,16586
"CTRC",4,0,1,2,0,0,4,4,1,0,5,0,2,0,0,0
"CELA2A",0,0,0,0,0,0,0,4,5,0,0,0,2,0,0,4
"CELA2B",5,1,9,3,2,7,10,1,2,2,3,2,6,2,2,0
"CASP9",192,166,411,304,20,703,485,477,409,161,171,312,481,312,223,1133
"DNAJC16",817,683,2509,1169,226,2515,2303,856,449,664,766,1234,2049,1234,1267,2212
"AGMAT",21,13,67,72,4,100,88,55,36,16,30,45,73,45,51,196
"DDI2",105,87,252,224,25,267,376,189,169,56,86,184,313,184,96,1360
"RSC1A1",41,54,166,122,10,157,229,74,74,24,49,99,159,99,108,296
"PLEKHM2",2776,2545,6846,4251,361,8416,9121,9458,7372,1600,2224,3874,5739,3874,2570,34756
"SLC25A34",12,14,34,10,2,35,34,49,39,16,43,41,111,41,47,417
"TMEM82",0,0,0,4,0,1,0,6,5,2,4,0,1,0,0,36
"FBLIM1",2525,2201,6993,4153,573,13387,8244,5853,4539,1659,2159,3224,6588,3224,4085,26407
"UQCRHL",827,599,154,162,607,172,228,248,415,613,485,114,190,114,997,102
"FLJ37453",59,69,123,189,21,87,161,142,254,68,69,100,188,100,46,280
"SPEN",525,513,1713,1375,309,2101,2029,1345,782,307,545,1283,2272,1283,1883,3485
"MIR5096_dup1",4,3,2,3,0,0,2,0,0,0,2,1,2,1,0,0
"ZBTB17",542,636,1474,1238,103,1886,1965,1791,2113,367,615,1015,1763,1015,558,5808
"C1orf64",0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
"HSPB7",124,98,225,240,17,614,599,171,117,63,66,161,296,161,226,1779
