,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_EGF_k0.1_r10,min_18_GSE122927_P_p21_2E2_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
phe-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pe_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ps_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024548401788436995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003184558997189981,0.0,0.0,0.0
amet,0.0,0.0,0.0,0.004060338538118092,0.0,0.0,0.0,0.005929079653334378,0.0,0.0,0.0,0.00010311516624209003,0.0,0.0,0.0,0.0,0.0,0.0008694332163519086,0.000817074350414488,0.0,0.0015844018413935141,0.0,0.0,0.0,0.0014596537005634154,0.0,0.0,0.0,0.0011008070045382694,0.009007191666063463
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asn-L,0.0,0.0,0.0,0.0,0.0002054186240724327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001493821487188497,0.0,0.0,0.0,0.0
pchol_hs,0.0,0.0,0.0,0.0007361300674011608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030777452214870303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gthrd,0.002475318402123106,0.0,0.0,0.0,0.0,0.0,0.003478817197283739,0.0,0.0,0.0,0.0,7.263462810357289e-06,0.0,0.0,0.0019540277104831277,0.0,0.0,0.0,0.0002059176210065305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ser-L,0.0,0.0,0.0,0.0,0.0,2.4207549461464558e-05,0.02991370436395155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014306030837363934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyr-L,0.0,0.0,0.0,0.0,0.0014211367400560916,0.0002849366179847635,0.006525036405067129,0.005244213803164922,0.0,0.0,0.0,0.0,0.0,0.0,0.016926163215795532,0.0,0.0006722791619359253,0.0,0.0,0.0,0.0,0.002385633198778537,0.0,0.0019262502853230592,0.0,0.00018019389010072085,0.001195659796184011,0.0,0.0,0.0
dag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0,0.0,0.0,0.0,0.0,0.0,0.011176713652422498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015023827340774834,0.0,2.7905047495257308e-05,0.0,0.0,0.009523218476717926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clpn_hs,0.0,7.037286778319503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chsterol,0.0007976134805253375,0.0,0.0,0.0009874123985184784,0.0003745407906041034,0.0,0.0023013982204855856,0.0010464268425026259,0.000732524146790837,1.767579007146818e-05,0.00034240771217782694,0.0,0.0,0.0007696466973949912,6.174334409170391e-05,0.0,0.00020408098893835095,2.6092962468264372e-06,7.666852159114319e-06,0.0,0.0014247741205981926,0.0012068802476722469,0.00020674363883497684,0.0008845169481870056,0.0007290825185446439,2.191562530921013e-07,8.403635643694202e-06,0.0009715561101274171,0.00039203173433322274,0.0006857045377105277
arg-L,0.0009840872838143336,0.0,0.0,0.0,1.9095105350728842e-05,0.0,0.0,0.0,0.0,0.0009959421500424202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002608049154355216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011282047313464298,0.0,0.0
cys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,0.00023399435513821946,0.0,0.0,0.0,0.00031235942587503094,0.0,0.0,0.0,0.0,9.677313844101202e-06,0.009312760656681617,0.000370250338590127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001062157865604094,0.0,0.0,0.0,0.0,0.0011010352433514859,0.0,0.0
gthox,0.0,0.0,0.0,0.0,0.0003343861076709177,0.0,0.0,0.0,0.0012386654253971157,9.021876069569732e-05,0.0,0.0,0.0,0.0,0.0029724088214345386,3.0183886829141164e-05,0.0,0.0,0.0,0.0,0.0,0.002376401407445967,0.0,0.0006408979331182247,0.0013279487137000659,0.0,0.0,0.0032117691822442017,0.0,0.0
xolest_hs,0.00017297832479210972,7.576332876481392e-06,0.0,0.0007352963012541128,3.578777404470496e-05,0.0,0.0,0.0004305638624635606,0.0012283077582805593,3.908518617578959e-06,0.0001303800270279135,0.0,0.0,0.0003472552552797954,0.0006006851708353232,0.0,2.830561241594274e-05,2.9136419124261976e-05,4.1912259673058863e-07,0.0,0.0005108853400119323,0.00015110891220944167,0.0,0.0010194256958076175,7.358196945072801e-05,0.0,2.5073477548760124e-05,8.626413375461945e-05,6.56149696724608e-05,0.0003994916508303036
accoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015961207207716194,3.737043249814219e-05,9.094908843124618e-05,0.0,0.0026285109199333137,0.0,0.0019248885700004317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017299770995081471,0.0,0.0,0.0,0.0038287591938683473,0.0,0.0
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015170359760571842,0.0,0.0,0.008367527332220175,0.0,0.0,0.0025522284078700608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006450589796500343,0.0,0.0007467388417427425,0.0,0.0,0.0,8.93980505265048e-05,0.0
nmn,0.002246019483631529,0.0,0.0,0.015407597898243893,3.043500889464138e-05,2.0194921913374695e-05,0.0,0.01634781428078646,0.0,0.0,0.00448748875384242,0.0,0.0,0.0,0.0,0.0,0.0008751890554747761,0.0009705572437336361,0.0007461445162967678,0.0,0.0,0.00253896440427197,0.0005824837765808462,0.0,0.0006664027141778208,0.0009464521702786632,0.001984518263988569,0.0,0.0026593857208111462,0.013321343557548082
asp-L,0.0,0.0,0.0,0.0,0.0,0.00028244435379866806,0.0024761652179692926,0.0,0.039346865852028665,0.0,0.0,0.0,0.0,0.0,0.024165588727399923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pail_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glu-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0011107243488703317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033429484631444066,0.000141640408367854,0.0,0.0001954985127394174,0.0,0.00017425790203239315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thr-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro-L,0.0019198563086031096,0.0,0.0,0.0,0.0002565892997327992,0.0,0.026543228102485977,0.0024115437943012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011188239319609093,0.0,0.0007061379681469438,4.068131690348406e-05,0.0,0.006966800803447222,0.0,0.0,0.0,0.0,3.560589783049188e-05,0.0,0.0,0.0,0.014433396732380362
lpchol_hs,0.0,5.125522961866685e-05,0.0,0.0,0.0,0.0,0.0008920347569160681,0.0006943280299995288,0.00046874263207683225,0.0,0.0010388580875561665,9.982389139410111e-06,0.0007578385398274564,0.0,0.0,2.7770780736093888e-05,0.0,4.93543748299693e-05,0.0,1.4422532825030049e-05,0.0009379494073897773,0.0,0.00016479173129601784,0.00011266303996949744,0.0,2.2409566052803394e-05,0.00027955621744509283,0.0,1.8826443914562463e-05,0.0008360320885942604
gly,0.0038087921396488837,0.0,0.0,0.006627222724364469,0.0017693241885468692,0.0,0.005682561179412323,0.009240742304905783,0.0,0.0,0.0,1.3530778969051922e-06,0.0021385727823049335,0.008762640838115295,0.0,0.0,0.0010958407031855823,0.0,0.0,0.0,0.00897652125101133,0.0018260566325995246,0.0,0.0,0.008308662396483427,0.0,0.0036420419776391944,0.0,0.001306378325531215,0.0028548571776429955
gmp,0.0,0.0,0.0,0.002256503894907089,0.00015317617888425744,0.0,0.0,0.002079496441327951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.629603382898876e-05,5.702890959406595e-05,0.00017259500971639614,0.0,0.0,0.003217894611178741,0.0,0.0,0.0,0.0,8.29097984481181e-05,0.0,0.0,0.0005228035635984153,0.0004709202491468996
ala-L,0.0,0.0,0.0,0.0,0.0,0.00018165270278624652,0.021337920595285526,0.00879964208770167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.711615662747986e-05,0.0,0.0002686982446635023,0.0,0.0,0.0013536585263759341,0.0,0.015240402773900673,0.0,0.0002096345173910992,0.0005216472701802238,0.0,0.0007459678934019627,0.006557129109051371
dgmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001720136328891411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013383934294713056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581390851401447e-06,0.0,0.0,0.0,0.0
lys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp,0.0,0.0,0.0,0.0005713760714609582,0.0,0.0,0.0,0.0,0.0,0.0,0.0016394787975075103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008029164394545752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018577807428280318,0.0,0.0,0.0,0.0,0.0
gh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9040956281795995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2861004548465304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
