,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_EGF_k0.1_r10,min_18_GSE122927_P_p21_2E2_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
asn-L,0.0,0.0,0.0,0.0,0.0004961173380706786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017073838237468867,0.0,0.0,0.0,0.0
pchol_hs,0.0,0.0,0.0,0.0006847763249378617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002939193896930605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gthrd,0.002477385953399996,0.00044766482688702675,0.0,0.0,0.0006586584099721689,0.0,0.005137326498505743,0.0,0.0034384164308791853,0.0,0.0,0.0,0.0,0.0,0.0,3.420274410514543e-05,0.0,0.0,0.00023748112542631088,0.0,0.0,0.004771551289609091,0.0,0.0022840012574440872,0.0026382017726035065,0.0,0.0,0.007118744748405385,0.0,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ser-L,0.0,0.0,0.0,0.0013920090538120566,0.0,0.0,0.029415746709518187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001697044813962425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyr-L,0.0012842745120635306,0.0,0.0,0.003866500616038466,0.0019927785201642226,0.0003001308671572014,0.011818158038905074,0.008577228836538628,0.009293600460808326,0.0010859709801376773,0.004516550273013762,0.0,0.004303810811439626,0.0,0.0,0.0,0.000977414114159,2.3487235276518138e-05,0.0,0.0,0.0,0.004532091206427424,0.0,0.010499616481400265,0.0,0.0002529530303144964,0.001957344985383442,0.015597067922806419,0.0005821202050727219,0.0009539297743147355
dag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0,0.0,0.0,0.0,0.0,0.0,0.011426557367952932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016601885448785188,0.0,0.0,0.0,0.0,0.009040069697349506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clpn_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chsterol,0.0009768874361283568,0.0,0.0,0.0009595600235713257,0.00040578377542989374,0.0,0.002214240683094528,0.0015600393632466058,0.0,0.0,0.0,0.0,0.0,0.0007116598690187567,0.0,0.0,0.00022865873286016442,0.0,0.0,0.0,0.0019198365390430928,0.001318509033534101,0.0,0.0008406136595856324,0.0007321196045234679,0.0,0.0,0.000680791470891024,0.0004531056892454796,0.0006679459084395356
arg-L,0.0009743588897389562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000809064945030978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032956070283255594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005160258797666501,0.0,0.0
cys-L,0.0,0.0010043433514860204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037171827709249976,0.0,0.0,0.0,0.0,0.0,4.798113858069616e-05,0.0,0.00011660719086743713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,0.0,0.0011441715425622814,0.0,0.0,0.00030102261993559235,0.0,0.0,0.0,0.0,0.0,0.013143724972178986,0.0003784317968089455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018143937695360179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gthox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2914307137136052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xolest_hs,0.0,0.0,0.0,0.0007227093149602128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004574722061774921,0.0,0.0,0.0,2.878548965713612e-05,0.0,0.0,0.0,0.0,0.0,0.000936657470082163,5.6189040706742346e-05,0.0,0.0,0.0,0.0,0.0003604483497945824
accoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025556649814188186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013952043529038098,0.0,0.0,0.0,0.0019036358607015522,0.0,0.0
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011382918377607005,0.0,0.0,0.002531099991566482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007697035678533184,0.0,1.6459007649641543e-06,0.0,0.0,0.0,0.0,0.0
nmn,0.002922597332316906,0.0010648652725877036,0.0,0.01639730358348812,0.00023821368818765368,0.0,0.0,0.018760501531072414,0.0,0.0006076370165416566,0.005197042258434595,0.0,0.0,0.0,0.0,0.0,0.0009157020497486156,0.0010554049808350792,0.0007557024091347215,0.0,0.0,0.0027703067127637566,0.0,0.0,0.0020378770644650717,0.000942081492659932,0.002159152225674746,0.0,0.0028563629795106613,0.01351385318998128
asp-L,0.0,0.0,0.0,0.0,0.0,0.00029723094020832976,0.0042685443776573195,0.0,0.04111793122245709,0.0,0.0,0.0,0.0013669504787207545,0.0,0.0289813900179073,4.196406225826617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pail_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glu-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03369959854044651,0.00015618850475135278,0.0,0.00028127184470916355,0.0,0.0002901121008377605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thr-L,0.0,5.1231947663550075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005822531452035618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro-L,0.0026971356041857286,0.0008019115799501996,0.0,0.0,0.0003796357039267162,0.0,0.027480297660126305,0.0033102291664979175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001361443141380108,0.0,0.0007373014584048233,8.044829225511518e-05,0.0,0.008220372795208366,0.0,0.0,0.0,0.0,4.979164021980194e-05,0.0,0.0,0.0,0.01504260212559856
lpchol_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0007977055001888035,0.0,0.0,0.0,0.0,0.0,0.0006859013198783787,0.0,0.0,2.4988090825667793e-05,0.0,4.684646552274673e-05,0.0,0.0,0.0008304247757313619,0.0,0.0,0.0,0.0,2.037523466363947e-05,0.0002732174461765528,0.0,0.0,0.0007691768567659603
gly,0.004218227591056926,0.0,0.0,0.007192125817717973,0.0019452397341516246,0.0,0.00485667035161303,0.011522318457859759,0.0,0.0,0.0,4.298860308813275e-05,0.006102364788587846,0.010295859082897086,0.0,0.0,0.0011500976270466692,0.0,0.0,0.0,0.010964101026445969,0.001412726171802978,0.0,0.0,0.008809257911667086,0.0,0.0035942987473133728,0.0,0.0014948901764625126,0.0031745356926289993
gmp,0.0,0.0,0.0,0.0016522552184945107,0.0,0.0,0.0,0.0011386442798730345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9450533173114517e-05,0.0,0.0001380037790235497,0.0,0.0,0.0024562839083228202,0.0,0.0,0.0,0.0,6.549814887285655e-05,0.0,0.0,0.00036769116381464155,0.0
ala-L,0.0,0.0,0.0,0.0,0.0,0.00021201723649879426,0.02555086391417415,0.012188003934945065,0.0,0.0004261195727293899,0.0,0.0,0.0,0.0,0.0,9.197297945117792e-05,0.00041735833116014027,0.00010492982028691084,0.0004655800978207623,0.0,0.0,0.0031161269975604746,0.0,0.023096476846263873,0.0,0.00027818754738601607,0.0012360437278474262,0.012357499785964388,0.0015426647383637475,0.010078442574027272
dgmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232614994330118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013475950279195095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0006483046418305454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045867460087254606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003420133246204936
atp,0.0,0.0,0.0,0.00019284136244632273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033885231671629127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019360927773169215,0.0,0.0,0.0,0.0,0.0
gh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
