,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_EGF_k0.1_r10,min_18_GSE122927_P_p21_2E2_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
phe-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pe_hs,0.0,4.570824344918954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ps_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002279378853748152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033265150345935894,0.0,0.0,0.0
amet,0.0,0.0,0.0,0.004762460835005205,0.0,0.0,0.0,0.008175227423033365,0.0,0.0,0.0,0.00011976109309872546,0.0,0.0,0.0,0.0,0.0001176266891290756,0.000855101627510167,0.0007980774825328786,0.0,0.002861956472741844,0.0,0.0,0.0,0.0016911048757337031,2.3379577231685123e-05,0.0,0.0,0.0013762530067632217,0.009440034270702218
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asn-L,0.0,0.0,0.0,0.0,0.0002558193020453991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016019590830379594,0.0,0.0,0.0,0.0
pchol_hs,0.0,0.0,0.0,0.0006944298131169717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002902400217382779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gthrd,0.0023545068880757823,0.0002881226169068251,0.0,0.0,0.0001304924012145335,0.0,0.004613879894987494,0.0,0.0024139115060541243,0.0001306930192483937,0.0,4.96211737259076e-07,0.0,0.0,0.0055124845418469655,0.0,0.0,0.0,0.00020721107457448792,0.0,0.0,0.003766605546690141,0.0,0.0022412494413658075,0.0010939225836630534,0.0,0.0,0.00697231007700947,0.0,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ser-L,0.0,0.0,0.0,0.0007456677800275509,0.0,2.2578511077863867e-05,0.026418551045678446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016626019979866947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyr-L,0.0011422295951678714,0.0,0.0,0.0020727093719552277,0.001484329425127084,0.0002762044960166784,0.010613995779195461,0.008624305802130078,0.004901813085844976,0.0007874023456249333,0.000494468767904748,0.0,0.0033025021759996954,0.0,0.013821585047307924,0.0,0.0009370980839653049,0.0,0.0,0.0,0.0,0.004342529887562861,0.0,0.010301596714646248,0.0,0.00022945037403368805,0.0014519363516516696,0.015266691985208608,0.0004616951532194603,0.0
dag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0,0.0,0.0,0.0,0.0,0.0,0.010262295636505438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001358346678912339,0.0,1.6591486945635592e-05,0.0,0.0,0.008658641131370293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clpn_hs,0.0,9.3653677354575e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chsterol,0.0009175379368015241,1.3514671112201207e-06,0.0,0.0009535816951589651,0.00036771622525196544,0.0,0.001988629800610248,0.001010059710187162,0.000696899515636348,1.1489945482467825e-05,0.000303738445746547,0.0,0.0,0.0007246747191031166,3.312704039734514e-05,0.0,0.00021922709866898594,2.4638955443211917e-06,4.811453967295355e-06,0.0,0.0013804077876108465,0.001188965031660675,5.481994234775408e-05,0.0008318063005938887,0.0007217717771850382,0.0,6.056653961590979e-06,0.0006674835540172528,0.00037401773870049425,0.0006513593590443049
arg-L,0.0009266740084362364,0.00011998237974144307,0.0,0.0,1.478372256137416e-05,0.0,0.0,0.0,0.0,0.0007987007313222875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002817784190032428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00506361489035723,0.0,0.0
cys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,1.4286267548268115e-05,0.00011447950687606663,0.0,0.0,0.00029923192802692626,0.0,0.0,0.0,0.0,2.2558898364568585e-06,0.009740605761057874,0.0003576100996167216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001624821742507126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gthox,0.0,0.0,0.0,0.0,0.00025658532846151513,0.0,0.0,0.0,0.0,2.056374655478494e-05,0.0,0.0,0.0,0.0,0.0,2.7118233678313912e-05,0.0,0.0,0.0,0.0,0.0,0.00040837449434950873,0.0,0.0,0.0007621235333042198,0.0,0.0,0.0,0.0,0.0
xolest_hs,1.0561001040266818e-05,3.2849998775499562e-06,0.0,0.0007144933029069572,2.7458245687864307e-05,0.0,0.0,0.0003856030986234577,0.00116154617397197,5.594306496656935e-06,0.00010492836790875459,0.0,0.0,0.0003269755199530374,0.0003753766381893269,0.0,0.0,2.789152463835755e-05,2.630269945175883e-07,0.0,0.0004419100131090081,7.019724459589621e-05,0.0,0.0009277533459264159,6.561677593336584e-05,0.0,1.8044784594200775e-05,0.0,5.687440478258782e-05,0.00035854441990081467
accoa,0.0,4.657342346414304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000803922467257704,8.509253832999859e-06,8.573516488906618e-05,0.0,0.0025136314891578875,0.0,0.0009494544165807538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001391152742986107,0.0,0.0,0.0,0.00186803887446189,0.0,0.0
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005249891531943811,0.0,0.0,0.008325006520540384,0.0,0.0,0.002411583273742676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074087482313114315,0.0,0.0004311038891886948,0.0,0.0,0.0,0.0,0.0
nmn,0.002736476854961068,0.00021715026041312208,0.0,0.015645197624886246,7.064354514754476e-05,1.937940120037737e-05,0.0,0.01761216949707692,0.0,0.0003236639085068881,0.005662784022696984,0.0,0.0,0.0,0.0,0.0,0.000877931496866986,0.0009608577015089508,0.0007164128629196377,0.0,0.0,0.0026024659936916637,0.0001551291013859292,0.0,0.0012245045446622458,0.0009035969128687334,0.00208094965586637,0.0,0.0027143033915217763,0.013091321080687522
asp-L,0.0,0.0,0.0,0.0,0.0,0.00027107713696474775,0.0038336187296375696,0.0,0.04133750555078614,0.0,0.0,0.0,0.0010489208583378837,0.0,0.0232723359745844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pail_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glu-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5952581163822106e-05,0.0,0.0,0.0,0.0,0.029791318297909538,0.00014053166416481245,0.0,0.00020686182101102373,0.0,0.00021295199651580638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thr-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019120071082891248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro-L,0.002516038390247308,0.00022827620311710971,0.0,0.0,0.00027194483501209537,0.0,0.024680306560076987,0.0032475328954869294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010669753720405626,0.0,0.0006877689112426799,5.194787056300438e-05,0.0,0.007413551169342123,0.0,0.0,0.0,0.0,4.5733610717689274e-05,0.0,0.0,0.0001298922435806423,0.014404755303803944
lpchol_hs,0.0,0.0001284005834368454,0.0,0.0,0.0,0.0,0.0007164266025358887,0.0006304283301264294,0.0003272038277195951,0.0,0.0009126576384891195,6.819582871408916e-07,0.000685732343655055,0.0,0.0,2.3787576793570854e-05,0.0,4.725383589035444e-05,0.0,9.148866304272251e-06,0.0007401212896595302,0.0,4.373575655956468e-05,0.0,0.0,1.994909727650336e-05,0.0002838583944270362,0.0,9.121165438736137e-06,0.0007638429724020872
gly,0.003984219577195178,0.0,0.0,0.006805898126495381,0.00174229264820653,0.0,0.004361820043636877,0.009412442054406429,0.0,0.0,0.0,3.784244077843057e-05,0.0051298595189117014,0.008329288652639471,0.0,0.0,0.0011026588086522709,0.0,0.0,0.0,0.009562210267730572,0.0012082761419774718,0.0,0.0,0.008414095450725889,0.0,0.003707226571710324,0.0,0.0013161063926426266,0.003103051339897644
gmp,0.0,0.0,0.0,0.0018890042358596637,0.0001175736919421363,0.0,0.0,0.0010325593669305638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53479478938407e-05,0.0,0.00016332164926360546,0.0,0.0,0.0025472535514525487,0.0,0.0,0.0,0.0,6.696403185785069e-05,0.0,0.0,0.0003463833844581875,0.0
ala-L,0.0,0.0,0.0,0.0,0.0,0.00017629347684047027,0.022947464473488104,0.012308610050839577,0.0,0.00023982175785305256,0.0,0.0,0.0,0.0,0.0,0.0,0.0004001432829662432,0.0,0.0003215133511761956,0.0,0.0,0.00293563652155685,0.0,0.022773395311375913,0.0,0.00025396029394942065,0.0007499412844364515,0.012091117466344399,0.001328103128285766,0.008991450002440522
dgmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017956367398414632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012082108658114347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0136292258544368e-22,0.0,0.0,0.0,0.0
lys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0005822483257856105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp,0.0,0.0,0.0,0.00035718061622833596,0.0,0.0,0.0,0.0,0.0,0.0,0.0015181995278178166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021313880146547675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.795717769392835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018687496544859106,0.0,0.0,0.0,0.0,0.0
gh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.822511004728177e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0515783080973734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6788343665626435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
