,min_18_GSE122927_P_CDK46i_2E2_k0.1_r10,Sharma_21_P_H89-TPA_k0.1_r10,min_18_GSE122927_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_3B6_k0.1_r10,Sharma_21_P_H89-EGF_k0.1_r10,min_18_GSE122927_CDK46i_2E2_k0.1_r10,johnson_18_GSE117444_k0.1_r10,min_18_GSE122927_P_Meki_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_p21_3B6_k0.1_r10,min_18_GSE122927_p21_2E2_k0.1_r10,Sharma_21_EGF_k0.1_r10,min_18_GSE122927_P_p21_2E2_k0.1_r10,Sharma_21_TPA_k0.1_r10,min_18_GSE122927_CDK46i_3B6_k0.1_r10,min_18_GSE122927_ContactIn_2E2_k0.1_r10,Sharma_21_P_EGF_k0.1_r10,min_18_GSE122927_p21_3B6_k0.1_r10,min_18_GSE122927_ContactIn_3B6_k0.1_r10,Sharma_21_H89-EGF_k0.1_r10,min_18_GSE122927_P_Meki_2E2_k0.1_r10,min_18_GSE122927_P_SerumStarvation_2E2_k0.1_r10,min_18_GSE122927_P_ContactIn_3B6_k0.1_r10,min_18_GSE122927_SerumStarvation_3B6_k0.1_r10,min_18_GSE122927_P_ContactIn_2E2_k0.1_r10,Sharma_21_H89-TPA_k0.1_r10,Sharma_21_P_TPA_k0.1_r10,min_18_GSE122927_Meki_3B6_k0.1_r10,min_18_GSE122927_P_CDK46i_3B6_k0.1_r10,johnson_18_GSE117444_P_k0.1_r10
phe-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pe_hs,0.0,6.18232099709112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ps_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002419644727171569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031504258400045566,0.0,0.0,0.0
amet,0.0,0.0,0.0,0.005498169234430914,0.0,0.0,0.0,0.008284683969836636,0.0,0.0,0.0,9.882762726160599e-05,0.0,0.0,0.0,0.0,0.00010163430339752752,0.000911970032855287,0.000828261299144037,0.0,0.003560429203991266,0.0,0.0,0.0,0.002057353262614743,2.442124756147971e-05,0.00013395829023201775,0.0,0.0014293357628311412,0.009777738517958452
cmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asn-L,0.0003612337893763063,0.0,0.0,0.0,0.00047389536132388883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016733339085880155,0.0,0.0,0.0,0.0
pchol_hs,0.0,0.0,0.0,0.0006851873551736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029398939596584203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gthrd,0.0026554466268592417,0.00038970355669432083,0.0,0.0,0.0006667558114439748,0.0,0.005096810620541977,0.0,0.002404617191932568,0.0001736298973210559,0.0,0.0,0.0,0.0,0.00834645516263166,0.0,0.0,0.0,0.00021650401719608336,0.0,0.0,0.0034498956327819424,0.0,0.002261661451790038,0.0026355271425424934,0.0,0.0,0.007111362294322874,0.0,0.0
damp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ser-L,0.0,0.0,0.0,0.0013749860594904932,0.0,2.381648693603495e-05,0.029427653179596048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017518700379067678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyr-L,0.0012487692028947497,0.0,0.0,0.0038220056815495423,0.0020221521518584045,0.0002913487407725779,0.011675507920628048,0.008739774972934664,0.004826237702819874,0.0010460894484453963,0.0,0.0,0.004229279829354845,0.0,0.020927267731657685,0.0,0.000988090809358825,0.0,0.0,0.0,0.0,0.00451992536526828,0.00013918100933371774,0.01039506144387642,0.0,0.00023967346936268498,0.0019571444167462786,0.015563089397338158,0.0004795029625943726,0.0
dag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadh,0.0,0.0,0.0,0.0,0.0,0.0,0.0114189975153905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015363273551372372,0.0,0.0,0.0,0.0,0.008936435890264589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clpn_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chsterol,0.000802065720126882,1.8279423727717936e-06,0.0,0.0009598394453876234,0.0003726307201884027,0.0,0.0022167212287449024,0.0010235832052804858,0.0007185682147969275,9.919637282531714e-06,0.0003429508888262496,0.0,0.0,0.0007692689436462293,5.01576657944676e-05,0.0,0.00020185019130536963,2.4608279865531306e-06,7.13389996807553e-06,0.0,0.0014606309764481737,0.0011940657108006467,0.0002013788169497416,0.0008410400121400767,0.0007320833044396802,0.0,1.8163726733815646e-06,0.0006813846952589496,0.00038844378702950546,0.0006746608445825558
arg-L,0.0007035173360593612,0.0001622835465950587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000760003135759981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002603299382163202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051726447372910074,0.0,0.0
cys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcmp,0.0,0.00015484057266022398,0.0,0.0,0.00026653498517401335,0.0,0.0,0.0,0.0,0.0,0.00937337645080732,0.00036992016988870064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009198903013815135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gthox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.067146618001652e-05,0.0,0.0,0.0,0.0,0.0,0.0006636708953210797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xolest_hs,0.00015227879417753487,3.079156984020296e-06,0.0,0.0007228580260404909,3.046801851377512e-05,0.0,0.0,0.00039076586430910075,0.0011976621333609479,6.248300387143256e-06,0.00011847455447712023,0.0,0.0,0.0003470965747828968,0.0005683579257161758,0.0,2.4523319563443214e-05,2.8499872916241412e-05,0.0,0.0,0.00044609130890490407,0.00011408123870282378,0.0,0.0009382680347309441,5.641834279496243e-05,0.0,1.8763868112281875e-05,0.0,5.906807857711972e-05,0.0003713708535723866
accoa,0.0,6.299341914306119e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000828918831440181,0.0,9.680352097049134e-05,0.0,0.0025570079345118026,0.0,0.0014375693313597435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014091037507373701,0.0,0.0,0.0,0.0019083082002244885,0.0,0.0
his-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nadph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005320181319425354,0.0,0.0,0.007992682839067317,0.0,0.0,0.0025599845952994625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006296002253168436,0.0,9.519225144584713e-06,0.0,0.0,0.0,0.0,0.0
nmn,0.002587194143742379,0.00029370908028180927,0.0,0.016388895036492795,0.0002121501047148956,2.0441970417149154e-05,0.0,0.01784797544535336,0.0,0.0004299979564614222,0.005751423853772733,0.0,0.0,0.0,0.0,0.0,0.0009051538378723787,0.0010350287708557166,0.0007487764184788758,0.0,0.0,0.0026784132504387424,0.001294179385214475,0.0,0.0020235154424041147,0.000943856413068494,0.002038972891671692,0.0,0.002818995409717865,0.013559645093542443
asp-L,0.0,0.0,0.0,0.0,0.0,0.000285940249510442,0.00424300844694001,0.0,0.041614121526305975,0.0,0.0,0.0,0.0013253347964199743,0.0,0.025259237062484893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pail_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glu-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.433481128673123e-05,0.0,0.0,0.0,0.0,0.0335052943525921,0.00015894516714410435,0.0,0.0002443989027793366,0.0,0.0002251145046516319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thr-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pa_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro-L,0.00242112586621273,0.0003087576019489693,0.0,0.0,0.00037503670220937504,0.0,0.02746371355363785,0.003291013488499978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001206778414356056,0.0,0.0007225380725578125,5.182683888908709e-05,0.0,0.00811625366420809,0.0,0.0,0.0,0.0,4.777125857106575e-05,0.0,0.0,0.00013490225136788945,0.014920065620195358
lpchol_hs,0.0,0.0001644449956633096,0.0,0.0,0.0,0.0,0.0008002902354308182,0.0006388690137248054,0.0003373775775184767,0.0,0.0010304811679160565,1.0617036817940102e-05,0.000686634551621249,0.0,0.0,2.6904401878947057e-05,0.0,4.8298228583476485e-05,0.0,1.4570594354226806e-05,0.0007148826525781955,0.0,0.00012503428369594672,0.0,0.0,2.083792355993833e-05,0.0002687721012973794,0.0,9.472973280506665e-06,0.000791168404558365
gly,0.0038204775151606,0.0,0.0,0.007190326704165673,0.0018877103105857948,0.0,0.0048773898043529135,0.00953846342983123,0.0,0.0,0.0,0.0,0.006094380658253241,0.008841847127040111,0.0,0.0,0.0011023468268465976,0.0,0.0,0.0,0.010474436140661606,0.0011727005556440167,0.0,0.0,0.008805958227669655,0.0,0.0036277910686108063,0.0,0.0013668692641907777,0.00321405873530402
gmp,0.0,0.0,0.0,0.0016583966015006283,2.244141343670434e-05,0.0,0.0,0.0010463841055984033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9979498709973875e-05,0.0,0.00016370303356845847,0.0,0.0,0.0024629671337015125,0.0,0.0,0.0,0.0,6.994759501036175e-05,0.0,0.0,0.0003597435621383208,0.0
ala-L,0.0,0.0,0.0,0.0,0.0,0.0001859596176913396,0.02544774935810068,0.012473407662257345,0.0,0.00031861095130291306,0.0,0.0,0.0,0.0,0.0,0.0,0.0004048645838971929,0.0,0.0003279653116971165,0.0,0.0,0.0030262543559264016,0.0,0.02300694933389659,0.0,0.0002652754217009397,0.001171470922678199,0.012321944062449753,0.0013793287198342562,0.009313106764242761
dgmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018196781746157883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013665196320916122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0587911840678754e-22,0.0,0.0,0.0,0.0
lys-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp,0.0,0.0,0.0,0.0001965499172567995,0.0,0.0,0.0,0.0,0.0,0.0,0.0017141981358368484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008159194050240216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011685395149239655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019354696156162077,0.0,0.0,0.0,0.0,0.0
gh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3082508905870333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphmyln_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3970557472008262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tag_hs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9608017214544046e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
