,symbol,hgnc
1286,SLC25A20,1421
1287,SLC29A2,11004
1288,SLC29A3,23096
1289,SLC29A1,11003
1290,SLC28A2,11002
1291,SLC28A1,11001
1292,SLC28A3,16484
1293,SLC25A11,10981
1294,SLC25A10,10980
1295,SLC13A3,14430
1296,SLC1A5,10943
1297,SLC1A4,10942
1298,SLC7A10,11058
1299,SLC3A2,11026
1300,SLC36A2,18762
1301,SLC7A2,11060
1302,SLC7A1,11057
1303,SLC38A1,13447
1304,SLC6A14,11047
1305,SLC7A3,11061
1306,SLC38A2,13448
1307,SLC6A19,27960
1308,CLTRN,29437
1309,SLC38A4,14679
1310,SLC38A5,18070
1311,SLC38A3,18044
1312,SLC25A26,20661
1313,SLC7A6,11064
1314,SLC25A2,22921
1315,SLC25A15,10985
1316,SLC23A1,10974
1317,SLC23A2,10973
1318,SLC1A2,10940
1319,SLC1A6,10944
1320,SLC1A7,10945
1321,SLC1A3,10941
1322,SLC1A1,10939
1323,ATP6V1G2,862
1324,ATP6V1G3,18265
1325,ATP6V0E1,863
1326,ATP6V1B1,853
1327,ATP6V1A,851
1328,ATP6V1G1,864
1329,ATP6V1H,18303
1330,ATP6V0C,855
1331,ATP6V1E1,857
1332,ATP6V1C2,18264
1333,ATP6V0D1,13724
1334,ATP6V0B,861
1335,ATP6V1C1,856
1336,ATP6V1F,16832
1337,ATP6V1B2,854
1338,TCIRG1,11647
1339,ATP6V0A4,866
1340,ATP6V0D2,18266
1341,ATP6V1D,13527
1342,ATP6V1E2,18125
1343,ATP6V0A2,18481
1344,ATP6V0A1,865
1345,NSF,8016
1346,ATP5F1A,823
1347,ATP5PB,840
1348,ATP5MF,848
1349,ATP5F1D,837
1350,ATP5MC2,842
1351,ATP5MGL,13213
1352,ATP5PF,847
1353,ATP5MC3,843
1354,ATP5ME,846
1355,DMAC2L,18799
1356,ATP5MC1,841
1357,ATP5PD,845
1358,ATP5MG,14247
1359,ATP5F1E,838
1360,ATP5F1C,833
1361,ATP5F1B,830
1362,ATP5PO,850
1363,SLC25A5,10991
1364,SLC25A6,10992
1365,SLC25A4,10990
1366,NPC1L1,7898
1367,SCARB1,1664
1368,SLC32A1,11018
1369,SLCO1B1,10959
1370,ABCC3,54
1371,ABCC2,53
1372,SLCO1B3,10961
1373,SLC5A6,11041
1374,SLC19A3,16266
1375,ATP2B1,814
1376,ATP2B2,815
1377,ATP2B4,817
1378,ATP2B3,816
1379,ABCC4,55
1380,ABCC5,56
1381,ABCC11,14639
1382,SLC8A1,11068
1383,SLC8A2,11069
1384,SLC8A3,11070
1385,CERT1,2205
1386,SLC15A2,10921
1387,SLCO1A2,10956
1388,SLC10A2,10906
1389,SLC10A1,10905
1390,ABCB11,42
1391,SLC5A7,14025
1392,SLC22A5,10969
1393,SLC22A2,10966
1394,ABCA1,29
1395,ABCG8,13887
1396,ABCG5,13886
1397,STARD3,17579
1398,SLC13A2,10917
1399,SLC25A1,10979
1400,SLC26A4,8818
1401,SLC26A6,14472
1402,SLC35A1,11021
1403,SLC25A16,10986
1404,SLC6A8,11055
1405,SLC22A4,10968
1406,COX7B2,24381
1407,COX7C,2292
1408,COX6B1,2280
1409,COX7B,2291
1410,COX5B,2269
1411,UQCRQ,29594
1412,UQCR11,30862
1413,UQCRFS1,12587
1414,UQCRC2,12586
1415,COX6A1,2277
1416,COX7A2,2288
1417,UQCRB,12582
1418,UQCR10,30863
1419,COX5A,2267
1420,COX6A2,2279
1421,COX8A,2294
1422,UQCRH,12590
1423,COX8C,24382
1424,COX4I1,2265
1425,COX6C,2285
1426,CYC1,2579
1427,CYTB,7427
1428,UQCRC1,12585
1429,SLC7A5,11063
1430,SLC7A8,11066
1431,SLC43A2,23087
1432,SLC7A11,11059
1433,SLC7A9,11067
1434,SLC3A1,11025
1435,SLC2A4,11009
1436,SLC2A3,11007
1437,SLC2A1,11005
1438,SLCO2B1,10962
1439,DHODH,2867
1440,SLC16A8,16270
1441,SLC25A19,14409
1442,SLC6A3,11049
1443,SLC6A2,11048
1444,SLC22A3,10967
1445,SLCO4A1,10953
1446,SLCO1C1,13819
1447,SLCO3A1,10952
1448,SLC27A3,10997
1449,SLC27A1,10995
1450,SLC27A4,10998
1451,SLC2A8,13812
1452,SLC2A7,13445
1453,SLC2A11,14239
1454,SLC2A5,11010
1455,SLC2A2,11006
1456,SLC5A10,23155
1457,SLC5A9,22146
1458,GPD2,4456
1459,SLC37A4,4061
1460,SLC2A10,13444
1461,SLC5A1,11036
1462,SLC5A2,11037
1463,SLC35C1,20197
1464,SLC5A3,11038
1465,SLC5A12,28750
1466,SLC5A11,23091
1467,SLC25A22,19954
1468,SLC25A18,10988
1469,SLC17A6,16703
1470,SLC17A7,16704
1471,SLC17A8,20151
1472,SLC6A9,11056
1473,AQP4,637
1474,AQP8,642
1475,MIP,7103
1476,AQP2,634
1477,AQP5,638
1478,AQP1,633
1479,HAS2,4819
1480,HAS1,4818
1481,HAS3,4820
1482,SLC4A1,11027
1483,SLC4A3,11029
1484,SLC4A2,11028
1485,SLC4A9,11035
1486,ATP4A,819
1487,ATP4B,820
1488,UCP2,12518
1489,SLC25A27,21065
1490,UCP3,12519
1491,UCP1,12517
1492,SLC25A14,10984
1493,SLC43A1,9225
1494,SLC2A13,15956
1495,SLC5A8,19119
1496,SLC12A4,10913
1497,SLC12A6,10914
1498,SLC12A7,10915
1499,SLC12A5,13818
1500,SLC9A8,20728
1501,SLC9A7,17123
1502,SLC22A10,18057
1503,CYB5D1,26516
1504,AQP9,643
1505,NDUFS4,7711
1506,ND3,7458
1507,ND4,7459
1508,NDUFA5,7688
1509,NDUFB1,7695
1510,NDUFA9,7693
1511,NDUFA11,20371
1512,NDUFB11,20372
1513,ND6,7462
1514,NDUFC1,7705
1515,NDUFS6,7713
1516,NDUFB9,7704
1517,NDUFA6,7690
1518,NDUFS3,7710
1519,NDUFB10,7696
1520,NDUFV2,7717
1521,NDUFA1,7683
1522,NDUFV1,7716
1523,NDUFC2,7706
1524,TUSC3,30242
1525,NDUFS7,7714
1526,ND2,7456
1527,ND4L,7460
1528,NDUFB5,7700
1529,NDUFB7,7702
1530,NDUFS5,7712
1531,NDUFS2,7708
1532,NDUFS8,7715
1533,NDUFA4,7687
1534,NDUFAB1,7694
1535,NDUFB8,7703
1536,NDUFB4,7699
1537,ND1,7455
1538,NDUFB6,7701
1539,NDUFA10,7684
1540,NDUFA8,7692
1541,NDUFS1,7707
1542,NDUFA3,7686
1543,NDUFB3,7698
1544,NDUFB2,7697
1545,ND5,7461
1546,NDUFV3,7719
1547,NDUFA12,23987
1548,NDUFA13,17194
1549,NDUFA7,7691
1550,NDUFA2,7685
1551,SLC4A10,13811
1552,SLC4A8,11034
1553,SLC5A5,11040
1554,ATP1A2,800
1555,ATP1B4,808
1556,ATP1B2,805
1557,ATP1A4,14073
1558,ATP1A3,801
1559,ATP1B1,804
1560,ATP1B3,806
1561,ATP1A1,799
1562,SLC9A4,11077
1563,SLC9A2,11072
1564,SLC9A3,11073
1565,SLC9A5,11078
1566,SLC9A1,11071
1567,SLC12A3,10912
1568,SLC24A2,10976
1569,SLC24A3,10977
1570,SLC24A4,10978
1571,SLC24A1,10975
1572,RHBG,14572
1573,RHAG,10006
1574,SLC12A2,10911
1575,SLC12A1,10910
1576,SLC22A1,10963
1577,SLC26A1,10993
1578,SLC26A2,10994
1579,SLC26A3,3018
1580,SLC35B2,16872
1581,ATP10A,13542
1582,ABCB4,45
1583,ATP8A1,13531
1584,SLC25A3,10989
1585,SLC17A4,10932
1586,SLC34A2,11020
1587,SLC34A1,11019
1588,SLC17A2,10930
1589,SLC17A1,10929
1590,SLC17A3,10931
1591,SLCO2A1,10955
1592,STRA6,30650
1593,RBP1,9919
1594,RBP4,9922
1595,RBP2,9920
1596,SLC52A3,16187
1597,SLC13A1,10916
1598,SLC7A7,11065
1599,SLC26A7,14467
1600,SLC26A8,14468
1601,SLC26A9,14469
1602,SLC26A11,14471
1603,SLC13A4,15827
1604,SLC6A4,11050
1605,SLC6A6,11052
1606,NNT,7863
1607,SLC19A2,10938
1608,SLC16A2,10923
1609,SLC36A4,19660
1610,SLC35A2,11022
1611,SLC35D1,20800
1612,SLC35D2,20799
1613,SLC35A3,11023
1614,SLC35B4,20584
1615,SLC14A2,10919
1616,SLC14A1,10918
1617,FOLR3,3795
1618,FOLR2,3793
1619,FOLR1,3791
1620,KCNJ11,6257
1621,KCNJ8,6269
1622,ABCC8,59
1623,ABCC9,60
1624,SLC11A1,10907
1625,SLC30A1,11012
1626,SLC37A1,11024
1627,ABCD1,61
1628,ABCD3,67
1629,SLC13A5,23089
1630,SLC6A5,11051
1631,SLC4A7,11033
1632,SLC20A1,10946
1633,SLC20A2,10947
1634,SLC34A3,20305
1635,SLC6A7,11054
1636,COX6B2,24380
1637,COX7A1,2287
1638,COX1,7419
1639,COX4I2,16232
1640,COX2,7421
1641,COX7A2L,2289
1642,COX3,7422
1643,DBI,2690
1644,ABCD2,66
1645,SLC27A6,11000
1646,SLC6A20,30927
1647,SLC15A1,10920
1648,SLC15A4,23090
1649,SLC15A3,18068
1650,SLC46A1,30521
1651,FABP1,3555
1652,SLC22A13,8494
1653,SLC52A1,30225
1654,SLC52A2,30224
1655,SLC11A2,10908
1656,SLC40A1,10909
1657,SLC22A7,10971
1658,SLC29A4,23097
1659,SLC6A18,26441
1660,CFTR,1884
1661,ABCA8,38
1662,ABCG2,74
1663,SLC22A6,10970
1664,SLC22A8,10972
1665,SLC22A11,18120
1666,AQP10,16029
1667,AQP7,640
1668,AQP3,636
1669,CD36,1663
1670,ABCA3,33
1671,ABCA4,34
1672,ABCB1,40
1673,PON3,9206
1674,PAICS,8587
