,upgenes
358,MYBBP1A
359,REEP2
360,TERF2
361,RBM38
362,HMGB1P5
363,LGR6
364,CCNB1
365,THUMPD3
366,BHLHE40
367,KATNBL1
368,CDCA8
369,DAGLA
370,SLC37A2
371,RFK
372,CCNJL
373,PRR5L
374,NAT10
375,GDF11
376,TROAP
377,ESPL1
378,KRT87P
379,KRT7
380,DYSF
381,URB2
382,C2orf49
383,FLNB
384,CKAP2
385,SPRY2
386,LCP1
387,TTYH3
388,ABHD17C
389,TM6SF1
390,IMP4
391,PRPF4
392,GABBR2
393,TRMO
394,ANP32B
395,DSCC1
396,ARHGEF39
397,FOXP4
398,TCF19
399,MDC 1.00
400,NRM
401,VARS2
402,FGFBP1
403,GGH
404,THBS1
405,KIF23
406,PLCB2
407,CGREF1
408,PNPT1
409,CENPO
410,KIF11
411,CEP55
412,EXOC6
413,DBR1
414,UBL7
415,ANXA3
416,PHLDA1
417,LGR5
418,GAS2L3
419,BRCA2
420,SETD1B
421,RHOF
422,ABHD13
423,TLE3
424,TICRR
425,OSGIN1
426,GREB1L
427,PELP1
428,TP53
429,ARHGDIA
430,ZNF750
431,SMAD4
432,SAMD1
433,PRDM15
434,DPP9
435,TMEM50B
436,EMP3
437,ZNF614
438,EPHA2
439,WDTC1
440,ITGB3BP
441,BCL10
442,TINAGL1
443,KIF2C
444,SF3B4
445,TAF1A
446,UBAP2L
447,SOX13
448,PLEKHA6
449,ASXL2
450,TPRKB
451,MALL
452,NYAP2
453,GRIP2
454,TMF1
455,ABHD10
456,STXBP5L
457,LYAR
458,GTF2H2
459,PCYOX1L
460,NHP2
461,NFKBIE
462,FAXC
463,MTFR2
464,C7orf26
465,TMEM209
466,NCAPG2
467,ZMYM3
468,ITGB1BP2
469,ST18
470,POLE3
471,ASB6
472,PAXX
473,SEC16A
474,NOTCH1
475,PROSER2
476,POLR3A
477,RPP30
478,MKI67
479,IMMP1L
480,SSRP1
481,SERPINH1
482,GLB1L2
483,P4HA3
484,INCENP
485,EI24
486,SOGA1
487,CDC42EP2
488,IL18
489,SEC24D
490,RILPL2
491,EIF4E
492,QTRT2
493,ADAM8
494,ASAP2
495,BAG3
496,TMEM163
497,SPC25
498,CATSPER3
499,FARP1
500,PART1
501,MERTK
502,HS3ST3A1
503,C16orf74
504,FBXL18
505,OTUD6B
506,TRMT44
507,LARP1
508,DEPTOR
509,ELMSAN1
510,DCK
511,ADAMTS3
512,SCAF4
513,CDK20
514,FAM122B
515,LRFN2
516,UTP14A
517,MAPK13
518,RPUSD3
519,SYN2
520,CCNB2
521,TSPAN18
522,LDLRAP1
523,NLRP14
524,CDC25C
525,TSR2
526,ZC3H18
527,SPATA2L
528,B4GALT3
529,MIS18A
530,SON
531,LAD1
532,STC1
533,PTMS
534,CCDC17
535,ZYX
536,GNE
537,CCDC58
538,U2AF1
539,ICOSLG
540,ITGB2
541,SPATC1L
542,ZDHHC12
543,PKN3
544,SAFB
545,FAM189B
546,LY6E
547,TONSL
548,RECQL4
549,LRRC14
550,SH2B2
551,MAML1
552,LRWD1
553,DBF4B
554,SPC24
555,CCNF
556,TBC1D24
557,AMDHD2
558,PAQR4
559,SYVN1
560,LRP5
561,NOL9
562,USP1
563,MT2P1
564,NOSTRIN
565,SCNM1
566,BOLA3
567,COL6A3
568,IGFBP7
569,NUAK2
570,THOC7
571,KLF15
572,RFC4
573,RPL39L
574,PIGX
575,AIMP1
576,CDC25A
577,SPRY1
578,MST1R
579,PITX2
580,HMGB2
581,MAD2L1
582,ITGA2
583,EGFLAM
584,SHROOM1
585,CGAS
586,ZNF12
587,TMUB1
588,FOXK1
589,SYK
590,ZNF367
591,NOL6
592,CLDN2
593,SUGT1
594,DNAAF2
595,HPRT1
596,E2F7
597,LARGE2
598,CCDC38
599,TUB
600,TMEM41B
601,LEO1
602,MCM7
603,RRAD
604,MARF1
605,FAM96A
606,ANPEP
607,PLK1
608,TAC3
609,NEMP1
610,SCG5
611,SMAD3
612,TPM4
613,MIDN
614,CDT1
615,TUBA1A
616,SEMA6B
617,SRR
618,KRT80
619,ANGPTL4
620,EVPL
621,LTBP3
622,SCARA3
623,PBK
624,ACOX2
625,DTYMK
626,MLKL
627,RFWD3
628,HR
629,REEP4
630,CAVIN2
631,SERINC2
632,FAM84B
633,CHTF8
634,IRS1
635,Z99496.1
636,NSMCE1
637,KIAA1024
638,DFFB
639,CKAP2L
640,BUB1
641,FASN
642,WNT10B
643,SYAP1
644,TMEM154
645,HNRNPA3
646,RNF150
647,CNGB3
648,CDK1
649,TCAF2
650,ADORA2B
651,KRT86
652,PFKFB3
653,IRX1
654,GPR27
655,PAQR8
656,PYGO1
657,SOX7
658,ATP6V0E2
659,CHD7
660,ESCO2
661,APLN
662,NLRP5
663,PPID
664,TCEA2
665,GATM
666,SLFNL1
667,RHNO1
668,RRM2
669,PPIH
670,MOB3A
671,NEGR1
672,C2CD2L
673,HCFC1
674,CFL1
675,RAB37
676,MYEOV
677,RELA
678,COQ2
679,NOC3L
680,ZBTB21
681,SLC19A1
682,RCE1
683,MARCH3
684,XXYLT1
685,PRPF8
686,EXO1
687,ZWILCH
688,PDZK1
689,PQLC2L
690,RAB1B
691,UBE2C
692,ARHGAP1
693,CCNE2
694,BANF1
695,EIF1AD
696,PPP2R2D
697,FOSL1
698,MSRA
699,TPRN
700,ATAD5
701,SGF29
702,FOXC2
703,CSTF2T
704,FAM20C
705,NECTIN3
706,NDUFAF3
707,KDELC2
708,GLDC
709,MCMDC2
710,DYNAP
711,AL450998.1
712,ERFE
713,ZHX2
714,TMEM52
715,PFAS
716,ZBTB7A
717,AURKB
718,KLHDC7A
719,FUCA1
720,CDH4
721,RAD23A
722,CITED4
723,PHC1P1
724,B3GNT3
725,SPDYE7P
726,RCC1
727,ZNF609
728,CXCR2
729,FAM83H
730,C1orf105
731,PJA1
732,HIST3H2BA
733,POLR2A
734,DLSTP1
735,FANCB
736,GPR3
737,SLC35C1
738,PRKAG1
739,SNRPE
740,RTKN2
741,MGAT4C
742,OR52A1
743,CREB3L2
744,MRPS16
745,GABRG3
746,NXPH4
747,CAPN12
748,KPNA2
749,HS3ST4
750,PLCB1
751,GALNT9
752,ZNF320
753,BEGAIN
754,GTF2H2C
755,EP400
756,ALYREF
757,UPP1
758,CBX6
759,EMILIN3
760,KIRREL1
761,IQGAP3
762,TOB2
763,DNAH2
764,SMTN
765,BRD7P2
766,TMEM255B
767,TMEM173
768,FAM167A-AS1
769,OSBP2
770,AMYH02020865.1
771,WT1
772,NOC4L
773,SEMA4B
774,INTS5
775,MANEAL
776,NR2F2
777,AC034236.1
778,UBE2L3
779,MOSMO
780,MATN1-AS1
781,BCL9L
782,KIF18B
783,KIF24
784,TMEM262
785,PLEKHG7
786,PTMA
787,SPRY4
788,FANCA
789,ZNF70
790,EIF4EBP1
791,DMBT1
792,ENO4
793,LCTL
794,NDOR1
795,FAM111B
796,ANKRD62P1-PARP4P3
797,KAZN
798,ZNF724
799,HRCT1
800,TRRAP
801,MYO18A
802,FAM72A
803,POTEF
804,S100A2
805,SNHG17
806,HIST3H2BB
807,FUT11
808,GMFB
809,HIST1H4C
810,ABCB8
811,COL13A1
812,ZNF628
813,RPF2
814,IFNA1
815,MBP
816,PRIM1
817,TOR4A
818,HMGN5
819,CSF2RA
820,HYLS1
821,WWP2
822,NRARP
823,ZNF627
824,SMOC1
825,TMEM184B
826,ARHGAP11A
827,HMGN2
828,GJC2
829,TOP 1.00
830,DZIP3
831,TGM2
832,RF00019
833,LINC00970
834,CENPW
835,HIST2H2BF
836,PHACTR4
837,C9orf129
838,PKP4-AS1
839,LSM 2.00
840,VARS
841,BAG6
842,PRRC2A
843,KRT81
844,CDPF1
845,DPF3
846,RP9P
847,C1RL-AS1
848,AKR7L
849,RPS26P3
850,NPM1P46
851,RPS7P11
852,NPM1P50
853,ACTBP2
854,PPM1N
855,DNASE1
856,PTMAP5
857,MTCP1
858,HLA-F-AS1
859,FAM72D
860,AL109918.1
861,BMPR1APS1
862,HIST2H2BD
863,TIGD1
864,AC112721.2
865,AL391987.2
866,RPL23AP53
867,TNRC18P2
868,AF230666.1
869,AP001469.1
870,LINC02561
871,MIR548XHG
872,MDC1-AS1
873,IMPDH1P8
874,COL4A2-AS2
875,AL390066.1
876,RPL23AP2
877,SELENOKP3
878,MTOR-AS1
879,AL592166.1
880,AC004540.2
881,RUSC1-AS1
882,NOL7
883,ODF2-AS1
884,GTF2H2B
885,AC092567.1
886,AL365356.1
887,SRRM5
888,AL109811.1
889,LINC01692
890,WDR46
891,WDR11-AS1
892,AL606534.1
893,WASH7P
894,TP73-AS1
895,AL158198.1
896,AL358075.2
897,AC016596.1
898,AL136979.1
899,AL365277.1
900,AL031283.1
901,AC015971.1
902,C2orf92
903,SNHG26
904,AC092802.2
905,AF127577.1
906,LINC00382
907,HNRNPA1P8
908,AL391839.1
909,RPL4P4
910,C9orf147
911,TPI1P2
912,AC078960.1
913,ANKRD18B
914,AC004039.1
915,ZNF674-AS1
916,
917,AC125232.1
918,TBL1XR1-AS1
919,AL365440.1
920,LINC01819
921,IPO9-AS1
922,AC112907.2
923,AC005537.1
924,LINC01697
925,AC008440.2
926,AL390728.5
927,YWHAEP1
928,PHKA1P1
929,AC002524.1
930,PFN1P1
931,AL133480.1
932,AK4P3
933,EIF3FP3
934,LINC00460
935,AL590094.1
936,DCUN1D2-AS
937,HIST1H2BN
938,AC074117.1
939,RNASEH1-AS1
940,ETV5-AS1
941,AC004771.2
942,AC007405.1
943,MCIDAS
944,HMGN2P5
945,ELF3-AS1
946,AL603840.1
947,MIR155HG
948,AC091153.2
949,HGH1
950,AC137630.2
951,SSR4P1
952,AL133481.1
953,KIAA0040
954,OLMALINC
955,AC234582.2
956,AC010894.3
957,LINC00896
958,Z99916.1
959,MKLN1-AS
960,CATIP-AS2
961,KIFC1
962,AL109615.3
963,AL731563.2
964,AL356356.1
965,LINC01877
966,LINC00707
967,AC008026.1
968,MAGI1-AS1
969,SEC62-AS1
970,AL031428.1
971,RPL7P15
972,PRICKLE2-AS1
973,UBQLN4P1
974,RPSAP52
975,AL365356.5
976,PEG10
977,AL162431.2
978,AC133134.1
979,ETV5
980,AC107959.1
981,SCAMP1-AS1
982,PGAM5
983,CKMT2-AS1
984,AC006064.2
985,LUCAT1
986,LINC02056
987,AC022784.1
988,AC109454.2
989,LINC01331
990,SMIM31
991,AC105001.1
992,AC021087.1
993,HAUS5
994,AC093817.1
995,AC092647.5
996,VCAN-AS1
997,AL355315.1
998,AC104116.1
999,LINC02105
1000,GMPSP1
1001,RNPS1P1
1002,AC097658.2
1003,AP002490.1
1004,AC026704.1
1005,AC105460.2
1006,AC090198.1
1007,LINC01606
1008,AC132219.1
1009,AC090579.1
1010,LINC01592
1011,PRKDC
1012,AC068075.1
1013,AC226119.1
1014,AC100810.1
1015,AP001208.2
1016,AF201337.1
1017,AC069287.2
1018,AP003501.1
1019,RRM1-AS1
1020,AC027277.1
1021,DND1
1022,POLG2
1023,AC005840.3
1024,AC090023.2
1025,TMPO-AS1
1026,HMGN2P6
1027,AC025423.4
1028,AL928654.2
1029,AC107032.2
1030,AL139023.1
1031,AC011603.2
1032,AC073612.1
1033,LINC02300
1034,AC125611.3
1035,AC125611.4
1036,AL049779.1
1037,AL157871.4
1038,AL358334.3
1039,AC008575.1
1040,LINC02307
1041,AC090971.2
1042,AC084757.1
1043,AL136295.2
1044,AC027682.2
1045,AC107871.1
1046,AC100827.2
1047,AC092718.2
1048,AC104024.2
1049,AL133355.1
1050,AC008669.1
1051,AC106820.5
1052,AC018845.3
1053,AC008870.3
1054,AC021016.2
1055,AC005592.1
1056,AC091180.5
1057,AC145207.2
1058,AC004034.1
1059,AC130650.1
1060,AC113189.2
1061,AP005328.1
1062,AC112907.3
1063,AP005899.1
1064,AC005332.1
1065,AC005726.4
1066,AP001496.3
1067,AC130324.2
1068,AC006441.3
1069,AC012213.3
1070,AC037487.2
1071,NAGPA-AS1
1072,AC098848.1
1073,
1074,KF456478.1
1075,AC008761.1
1076,AC005523.1
1077,AC011466.3
1078,AC010320.4
1079,ZNF528-AS1
1080,MEI4
1081,AC010969.2
1082,AL513318.2
1083,AL022097.1
1084,HMGN3-AS1
1085,MTCO3P22
1086,PFN1P2
1087,AC046185.2
1088,AC020907.4
1089,AL445228.2
1090,MILR1
1091,AC012073.1
1092,AC025181.2
1093,AL365330.1
1094,AC087623.4
1095,AL356277.3
1096,KMT2B
1097,AC139887.4
1098,AL133215.2
1099,HIST1H2BM
1100,AL137058.2
1101,HIST1H2BG
1102,FAM27E3
1103,HIST1H3B
1104,AL121772.1
1105,AC125257.2
1106,HIST1H2AH
1107,AL031670.1
1108,HIST1H3A
1109,AC091959.3
1110,UHRF1
1111,AC020922.4
1112,HIST1H4D
1113,HIST1H2BF
1114,PCGF2
1115,SRCIN1
1116,AC239859.6
1117,DDX52
1118,AC018529.2
1119,HIST1H2AB
1120,AC037198.2
1121,HIST1H4A
1122,AC015813.5
1123,AC009086.3
1124,AC018629.1
1125,AC083964.2
1126,
1127,AC037487.4
1128,GSEC
1129,SLFNL1-AS1
1130,
1131,
1132,AC104073.4
1133,PRNCR1
1134,AL031777.3
1135,AC007221.2
